縣市,鄉鎮市區,111H1宅數,111H1比率(%)
南投縣,全區,20535,12.08
南投縣,南投市,3771,10.47
南投縣,埔里鎮,3478,11.46
南投縣,草屯鎮,3127,9.12
南投縣,竹山鎮,2807,13.73
南投縣,集集鎮,460,12.72
南投縣,名間鄉,1396,11.82
南投縣,鹿谷鄉,968,16.59
南投縣,中寮鄉,827,17.72
南投縣,魚池鄉,619,13.42
南投縣,國姓鄉,1056,18.27
南投縣,水里鄉,926,15.57
南投縣,信義鄉,441,13.76
南投縣,仁愛鄉,659,19.17
