縣市,鄉鎮市區,村里,101年宅數,101年比例
南投縣,南投市,龍泉里,51,13.61%
南投縣,南投市,康壽里,98,13.78%
南投縣,南投市,三民里,63,16.15%
南投縣,南投市,仁和里,14,6.44%
南投縣,南投市,南投里,23,9.62%
南投縣,南投市,彰仁里,25,13.61%
南投縣,南投市,崇文里,106,19.45%
南投縣,南投市,漳興里,92,8.86%
南投縣,南投市,漳和里,243,9.09%
南投縣,南投市,軍功里,319,17.37%
南投縣,南投市,東山里,29,24.44%
南投縣,南投市,平和里,346,13.02%
南投縣,南投市,振興里,64,8.93%
南投縣,南投市,千秋里,27,7.89%
南投縣,南投市,三興里,207,10.05%
南投縣,南投市,三和里,150,12.55%
南投縣,南投市,嘉興里,91,12.50%
南投縣,南投市,嘉和里,247,13.18%
南投縣,南投市,福山里,60,10.49%
南投縣,南投市,永興里,12,5.63%
南投縣,南投市,鳳鳴里,16,13.54%
南投縣,南投市,鳳山里,16,7.45%
南投縣,南投市,平山里,210,10.04%
南投縣,南投市,新興里,219,11.31%
南投縣,南投市,永豐里,119,10.37%
南投縣,南投市,福興里,167,13.81%
南投縣,南投市,營北里,239,9.86%
南投縣,南投市,營南里,103,11.23%
南投縣,南投市,內興里,293,11.14%
南投縣,南投市,內新里,67,12.39%
南投縣,南投市,光華里,6,21.43%
南投縣,南投市,光榮里,58,18.33%
南投縣,南投市,光明里,6,36.36%
南投縣,南投市,光輝里,30,13.79%
南投縣,埔里鎮,東門里,127,9.36%
南投縣,埔里鎮,南門里,48,11.48%
南投縣,埔里鎮,西門里,152,11.17%
南投縣,埔里鎮,北門里,115,11.04%
南投縣,埔里鎮,同聲里,94,10.43%
南投縣,埔里鎮,薰化里,81,14.86%
南投縣,埔里鎮,清新里,192,11.48%
南投縣,埔里鎮,大城里,369,13.53%
南投縣,埔里鎮,籃城里,47,14.38%
南投縣,埔里鎮,枇杷里,384,11.76%
南投縣,埔里鎮,水頭里,210,13.53%
南投縣,埔里鎮,麒麟里,80,17.05%
南投縣,埔里鎮,珠格里,16,5.02%
南投縣,埔里鎮,溪南里,38,10.49%
南投縣,埔里鎮,桃米里,82,16.15%
南投縣,埔里鎮,成功里,20,21.05%
南投縣,埔里鎮,南村里,103,17.61%
南投縣,埔里鎮,愛蘭里,99,14.50%
南投縣,埔里鎮,鐵山里,95,12.61%
南投縣,埔里鎮,房里里,39,8.73%
南投縣,埔里鎮,向善里,35,13.51%
南投縣,埔里鎮,一新里,32,15.38%
南投縣,埔里鎮,廣成里,50,12.78%
南投縣,埔里鎮,史港里,23,10.42%
南投縣,埔里鎮,福興里,54,13.69%
南投縣,埔里鎮,牛眠里,90,9.24%
南投縣,埔里鎮,大湳里,65,10.50%
南投縣,埔里鎮,蜈蚣里,170,16.20%
南投縣,埔里鎮,合成里,95,14.75%
南投縣,埔里鎮,北安里,121,9.42%
南投縣,埔里鎮,杷城里,111,10.78%
南投縣,埔里鎮,北梅里,155,11.26%
南投縣,埔里鎮,泰安里,55,7.12%
南投縣,草屯鎮,玉峰里,105,11.17%
南投縣,草屯鎮,炎峰里,123,11.95%
南投縣,草屯鎮,和平里,54,10.38%
南投縣,草屯鎮,敦和里,254,10.22%
南投縣,草屯鎮,山腳里,417,13.20%
南投縣,草屯鎮,富寮里,160,6.82%
南投縣,草屯鎮,御史里,255,10.92%
南投縣,草屯鎮,新豐里,106,8.80%
南投縣,草屯鎮,碧峰里,190,11.79%
南投縣,草屯鎮,碧洲里,90,10.46%
南投縣,草屯鎮,復興里,155,13.77%
南投縣,草屯鎮,上林里,137,11.70%
南投縣,草屯鎮,新庄里,99,8.48%
南投縣,草屯鎮,北投里,93,9.08%
南投縣,草屯鎮,石川里,49,10.51%
南投縣,草屯鎮,加老里,83,11.13%
南投縣,草屯鎮,北勢里,45,8.92%
南投縣,草屯鎮,中原里,56,8.88%
南投縣,草屯鎮,南埔里,150,10.87%
南投縣,草屯鎮,土城里,80,13.92%
南投縣,草屯鎮,坪頂里,20,8.14%
南投縣,草屯鎮,雙冬里,98,15.76%
南投縣,草屯鎮,平林里,30,9.36%
南投縣,草屯鎮,中正里,31,10.46%
南投縣,草屯鎮,中山里,157,15.30%
南投縣,草屯鎮,明正里,189,10.88%
南投縣,草屯鎮,新厝里,174,13.34%
南投縣,竹山鎮,竹山里,112,11.85%
南投縣,竹山鎮,中正里,53,16.33%
南投縣,竹山鎮,中山里,235,12.20%
南投縣,竹山鎮,雲林里,199,12.69%
南投縣,竹山鎮,??里,80,12.45%
南投縣,竹山鎮,下坪里,92,15.24%
南投縣,竹山鎮,桂林里,176,12.12%
南投縣,竹山鎮,中和里,41,15.71%
南投縣,竹山鎮,中崎里,278,36.33%
南投縣,竹山鎮,德興里,44,15.44%
南投縣,竹山鎮,延平里,189,14.70%
南投縣,竹山鎮,延正里,110,17.02%
南投縣,竹山鎮,延山里,57,16.67%
南投縣,竹山鎮,延和里,166,8.74%
南投縣,竹山鎮,山崇里,86,12.24%
南投縣,竹山鎮,社寮里,31,9.70%
南投縣,竹山鎮,中央里,73,15.19%
南投縣,竹山鎮,富州里,56,22.73%
南投縣,竹山鎮,大鞍里,49,32.26%
南投縣,竹山鎮,田子里,39,21.95%
南投縣,竹山鎮,福興里,30,15.07%
南投縣,竹山鎮,鯉魚里,28,13.29%
南投縣,竹山鎮,瑞竹里,47,17.84%
