縣市,鄉鎮市區,098宅數,098比率(%)
南投縣,全區,18676,12.05
南投縣,南投市,3599,11.24
南投縣,埔里鎮,2991,10.59
南投縣,草屯鎮,3224,10.64
南投縣,竹山鎮,2572,13.51
南投縣,集集鎮,403,11.67
南投縣,名間鄉,1329,11.87
南投縣,鹿谷鄉,690,13.22
南投縣,中寮鄉,693,15.69
南投縣,魚池鄉,611,14.93
南投縣,國姓鄉,869,16.01
南投縣,水里鄉,925,16.58
南投縣,信義鄉,339,11.86
南投縣,仁愛鄉,431,13.91
