縣市,鄉鎮市區,村里,103年宅數,103年比例
花蓮縣,花蓮市,民立里,70,9.25%
花蓮縣,花蓮市,民運里,145,12.31%
花蓮縣,花蓮市,民族里,59,23.35%
花蓮縣,花蓮市,主信里,66,19.21%
花蓮縣,花蓮市,主睦里,67,18.30%
花蓮縣,花蓮市,主和里,152,12.00%
花蓮縣,花蓮市,國威里,126,17.17%
花蓮縣,花蓮市,國風里,138,10.57%
花蓮縣,花蓮市,民德里,122,12.99%
花蓮縣,花蓮市,民意里,180,15.72%
花蓮縣,花蓮市,民治里,24,20.00%
花蓮縣,花蓮市,主義里,30,13.98%
花蓮縣,花蓮市,主工里,45,15.11%
花蓮縣,花蓮市,主農里,169,11.21%
花蓮縣,花蓮市,國治里,62,12.47%
花蓮縣,花蓮市,國富里,308,11.38%
花蓮縣,花蓮市,民政里,198,10.20%
花蓮縣,花蓮市,民勤里,146,9.82%
花蓮縣,花蓮市,民生里,74,13.29%
花蓮縣,花蓮市,主商里,35,11.97%
花蓮縣,花蓮市,主學里,121,14.68%
花蓮縣,花蓮市,國光里,113,17.51%
花蓮縣,花蓮市,國聯里,348,17.61%
花蓮縣,花蓮市,國強里,68,9.43%
花蓮縣,花蓮市,民心里,52,14.29%
花蓮縣,花蓮市,民樂里,63,12.70%
花蓮縣,花蓮市,民主里,73,21.36%
花蓮縣,花蓮市,主勤里,57,15.82%
花蓮縣,花蓮市,主力里,167,12.05%
花蓮縣,花蓮市,國安里,48,15.49%
花蓮縣,花蓮市,國魂里,112,11.97%
花蓮縣,花蓮市,國慶里,67,13.35%
花蓮縣,花蓮市,民享里,167,10.73%
花蓮縣,花蓮市,民有里,33,15.08%
花蓮縣,花蓮市,民權里,41,16.18%
花蓮縣,花蓮市,主計里,64,14.32%
花蓮縣,花蓮市,主權里,229,9.55%
花蓮縣,花蓮市,國華里,129,13.93%
花蓮縣,花蓮市,國防里,76,17.66%
花蓮縣,花蓮市,國福里,72,12.35%
花蓮縣,花蓮市,國裕里,273,12.68%
花蓮縣,花蓮市,主安里,105,10.70%
花蓮縣,花蓮市,國盛里,617,19.54%
花蓮縣,花蓮市,國興里,180,9.14%
花蓮縣,花蓮市,民孝里,122,7.82%
花蓮縣,鳳林鎮,鳳仁里,100,17.23%
花蓮縣,鳳林鎮,鳳義里,54,19.21%
花蓮縣,鳳林鎮,鳳禮里,43,14.46%
花蓮縣,鳳林鎮,鳳智里,113,16.76%
花蓮縣,鳳林鎮,鳳信里,127,19.88%
花蓮縣,鳳林鎮,山興里,56,25.66%
花蓮縣,鳳林鎮,大榮里,114,20.09%
花蓮縣,鳳林鎮,北林里,58,22.80%
花蓮縣,鳳林鎮,南平里,63,21.60%
花蓮縣,鳳林鎮,林榮里,88,20.63%
花蓮縣,鳳林鎮,長橋里,102,20.59%
花蓮縣,鳳林鎮,森榮里,24,22.22%
花蓮縣,玉里鎮,中城里,313,12.82%
