縣市,109H1宅數,109H1比率(%)
全國,819718,9.30
新北市,130969,8.00
臺北市,62463,6.94
桃園市,81732,9.56
臺中市,87873,8.40
臺南市,61545,8.78
高雄市,100932,9.41
宜蘭縣,30277,15.85
新竹縣,19664,9.26
苗栗縣,23569,11.68
彰化縣,39404,9.76
南投縣,18962,11.33
雲林縣,29218,12.38
嘉義縣,19847,11.46
屏東縣,27955,9.66
臺東縣,12085,13.88
花蓮縣,17000,13.04
澎湖縣,3163,9.61
基隆市,20746,12.47
新竹市,16164,9.21
嘉義市,11616,10.80
金門縣,4151,18.43
連江縣,383,12.88
