縣市,106宅數,106比率(%)
全國,802486,9.39
新北市,120356,7.64
臺北市,55557,6.22
桃園市,84399,10.34
臺中市,91859,9.13
臺南市,63037,9.32
高雄市,101806,9.76
宜蘭縣,28134,15.25
新竹縣,19576,9.80
苗栗縣,21274,10.97
彰化縣,39219,9.97
南投縣,18482,11.31
雲林縣,28545,12.12
嘉義縣,20068,11.70
屏東縣,27491,9.73
臺東縣,11405,13.37
花蓮縣,16807,13.05
澎湖縣,2752,8.57
基隆市,19006,11.64
新竹市,16023,9.45
嘉義市,12546,11.87
金門縣,3646,17.66
連江縣,498,17.41
