縣市,101宅數,101比率(%)
全國,801024,9.86
新北市,119136,7.97
臺北市,63390,7.22
桃園市,75937,10.26
臺中市,95347,10.02
臺南市,63582,9.84
高雄市,100374,10.07
宜蘭縣,27168,15.74
新竹縣,18480,10.36
苗栗縣,17384,9.66
彰化縣,40532,10.70
南投縣,18750,11.85
雲林縣,28537,12.55
嘉義縣,20015,12.08
屏東縣,28245,10.31
臺東縣,11779,14.06
花蓮縣,17651,13.90
澎湖縣,2631,8.41
基隆市,21209,13.38
新竹市,15789,10.08
嘉義市,12719,12.29
金門縣,2020,12.24
連江縣,349,14.65
