縣市,110H1宅數,110H1比率(%)
全國,814801,9.14
新北市,128308,7.76
臺北市,61410,6.82
桃園市,77454,8.92
臺中市,89266,8.39
臺南市,61498,8.67
高雄市,104739,9.63
宜蘭縣,30705,15.87
新竹縣,19681,9.07
苗栗縣,22762,11.13
彰化縣,39353,9.66
南投縣,19168,11.38
雲林縣,29464,12.37
嘉義縣,19757,11.34
屏東縣,28051,9.62
臺東縣,12158,13.87
花蓮縣,16903,12.84
澎湖縣,2999,9.05
基隆市,20146,12.09
新竹市,14931,8.30
嘉義市,11513,10.63
金門縣,4217,17.99
連江縣,318,10.53
