縣市,099宅數,099比率(%)
全國,822731,10.38
新北市,123945,8.52
臺北市,65813,7.63
桃園市,81140,11.30
臺中市,102156,11.04
臺南市,64110,10.14
高雄市,103291,10.62
宜蘭縣,26593,15.81
新竹縣,15956,9.57
苗栗縣,16749,9.53
彰化縣,41383,11.11
南投縣,18772,12.06
雲林縣,28713,12.82
嘉義縣,20163,12.35
屏東縣,27767,10.38
臺東縣,11912,14.43
花蓮縣,17677,14.11
澎湖縣,2595,8.39
基隆市,22488,14.32
新竹市,15857,10.62
嘉義市,13469,13.12
金門縣,1894,12.80
連江縣,288,12.75
