縣市,111H2宅數,111H2比率(%)
全國,795186,8.77
新北市,120736,7.18
臺北市,60434,6.69
桃園市,76599,8.57
臺中市,88315,8.07
臺南市,61990,8.57
高雄市,101966,9.21
宜蘭縣,28915,14.68
新竹縣,18198,8.11
苗栗縣,20947,10.07
彰化縣,39799,9.62
南投縣,19282,11.31
雲林縣,29722,12.28
嘉義縣,19374,10.98
屏東縣,28576,9.64
臺東縣,12171,13.92
花蓮縣,16796,12.66
澎湖縣,3221,9.57
基隆市,19322,11.49
新竹市,13201,7.26
嘉義市,11185,10.22
金門縣,4095,17.14
連江縣,342,11.15
