縣市,104宅數,104比率(%)
全國,800634,9.60
新北市,118651,7.71
臺北市,59091,6.68
桃園市,85142,10.92
臺中市,92519,9.47
臺南市,61393,9.28
高雄市,103009,10.07
宜蘭縣,27343,15.29
新竹縣,18817,9.98
苗栗縣,18677,10.02
彰化縣,39738,10.28
南投縣,18636,11.58
雲林縣,28551,12.31
嘉義縣,20023,11.85
屏東縣,27993,10.04
臺東縣,11195,13.27
花蓮縣,17083,13.37
澎湖縣,2687,8.49
基隆市,19657,12.28
新竹市,15086,9.22
嘉義市,12196,11.69
金門縣,2769,14.94
連江縣,378,14.91
