縣市,098宅數,098比率(%)
全國,837359,10.68
新北市,121018,8.47
臺北市,64146,7.53
桃園市,86870,12.24
臺中市,105083,11.45
臺南市,67758,10.77
高雄市,107928,11.17
宜蘭縣,27568,16.51
新竹縣,16389,10.01
苗栗縣,16962,9.73
彰化縣,41499,11.37
南投縣,18676,12.05
雲林縣,28916,12.98
嘉義縣,20115,12.37
屏東縣,28462,10.63
臺東縣,12005,14.66
花蓮縣,18010,14.42
澎湖縣,2554,8.31
基隆市,22041,14.18
新竹市,15013,10.31
嘉義市,14323,13.87
金門縣,1706,12.02
連江縣,317,14.22
