縣市,110H2宅數,110H2比率(%)
全國,776452,8.66
新北市,118165,7.10
臺北市,58930,6.54
桃園市,74743,8.53
臺中市,82097,7.65
臺南市,60781,8.50
高雄市,101393,9.27
宜蘭縣,28808,14.81
新竹縣,18207,8.30
苗栗縣,21340,10.36
彰化縣,38543,9.41
南投縣,18694,11.04
雲林縣,28544,11.94
嘉義縣,18946,10.83
屏東縣,28145,9.59
臺東縣,11969,13.68
花蓮縣,16896,12.80
澎湖縣,2924,8.78
基隆市,18748,11.20
新竹市,13268,7.37
嘉義市,10909,10.05
金門縣,4064,17.16
連江縣,338,11.13
