縣市,109H2宅數,109H2比率(%)
全國,818189,9.23
新北市,131450,7.99
臺北市,62671,6.95
桃園市,81412,9.45
臺中市,88106,8.33
臺南市,60402,8.58
高雄市,100092,9.27
宜蘭縣,29973,15.61
新竹縣,19072,8.90
苗栗縣,24148,11.85
彰化縣,39351,9.70
南投縣,18949,11.28
雲林縣,29385,12.39
嘉義縣,19685,11.34
屏東縣,28123,9.68
臺東縣,12314,14.09
花蓮縣,16877,12.91
澎湖縣,3181,9.60
基隆市,20351,12.21
新竹市,16491,9.26
嘉義市,11664,10.82
金門縣,4130,17.98
連江縣,362,12.04
