縣市,105宅數,105比率(%)
全國,801272,9.49
新北市,118042,7.60
臺北市,56109,6.30
桃園市,87195,10.87
臺中市,90871,9.16
臺南市,61262,9.16
高雄市,102854,9.94
宜蘭縣,27543,15.14
新竹縣,20103,10.32
苗栗縣,19660,10.33
彰化縣,38865,9.96
南投縣,18573,11.45
雲林縣,28368,12.14
嘉義縣,19621,11.54
屏東縣,27593,9.81
臺東縣,11405,13.39
花蓮縣,16818,13.09
澎湖縣,2628,8.25
基隆市,20133,12.37
新竹市,17583,10.53
嘉義市,12369,11.79
金門縣,3259,16.53
連江縣,418,15.76
