縣市,113H1宅數,113H1比率(%)
全國,862446,9.32
新北市,126913,7.42
臺北市,61548,6.77
桃園市,81491,8.84
臺中市,95566,8.50
臺南市,74523,10.03
高雄市,114515,10.13
宜蘭縣,30154,15.04
新竹縣,20705,8.95
苗栗縣,22609,10.65
彰化縣,43046,10.24
南投縣,20785,12.00
雲林縣,31581,12.84
嘉義縣,20887,11.66
屏東縣,31168,10.33
臺東縣,13156,14.93
花蓮縣,18209,13.62
澎湖縣,3820,11.20
基隆市,20873,12.22
新竹市,14035,7.55
嘉義市,12199,11.04
金門縣,4320,17.53
連江縣,343,11.08
