縣市,102宅數,102比率(%)
全國,795101,9.74
新北市,117809,7.83
臺北市,61388,6.98
桃園市,77823,10.40
臺中市,93679,9.79
臺南市,61717,9.51
高雄市,100428,10.03
宜蘭縣,26456,15.26
新竹縣,17779,9.86
苗栗縣,18344,10.11
彰化縣,40209,10.58
南投縣,18869,11.89
雲林縣,28468,12.47
嘉義縣,20217,12.14
屏東縣,28313,10.32
臺東縣,11521,13.76
花蓮縣,17597,13.83
澎湖縣,2632,8.41
基隆市,20996,13.21
新竹市,15240,9.68
嘉義市,13025,12.59
金門縣,2242,13.10
連江縣,349,14.34
