縣市,108宅數,108比率(%)
全國,824611,9.40
新北市,136477,8.37
臺北市,61393,6.83
桃園市,85383,10.06
臺中市,87727,8.44
臺南市,61033,8.76
高雄市,99087,9.29
宜蘭縣,30336,15.94
新竹縣,19648,9.34
苗栗縣,24089,11.99
彰化縣,39148,9.74
南投縣,18904,11.34
雲林縣,28796,12.26
嘉義縣,19574,11.34
屏東縣,28247,9.79
臺東縣,11837,13.67
花蓮縣,16745,12.88
澎湖縣,3055,9.30
基隆市,20824,12.54
新竹市,16432,9.40
嘉義市,11643,10.86
金門縣,3854,17.26
連江縣,379,12.79
