縣市,112H2宅數,112H2比率(%)
全國,850133,9.00
新北市,124649,7.00
臺北市,61569,6.00
桃園市,79171,8.00
臺中市,95133,8.00
臺南市,71461,9.00
高雄市,111919,9.00
宜蘭縣,29443,14.00
新竹縣,19305,8.00
苗栗縣,22909,10.00
彰化縣,43567,10.00
南投縣,20627,11.00
雲林縣,31504,12.00
嘉義縣,22098,12.00
屏東縣,31786,10.00
臺東縣,12863,14.00
花蓮縣,17378,13.00
澎湖縣,3897,11.00
基隆市,19918,11.00
新竹市,14583,7.00
嘉義市,11830,10.00
金門縣,4157,16.00
連江縣,366,11.00
