縣市,111H1宅數,111H1比率(%)
全國,858850,9.52
新北市,133689,7.99
臺北市,66826,7.41
桃園市,82134,9.27
臺中市,94851,8.77
臺南市,66840,9.29
高雄市,109180,9.92
宜蘭縣,31086,15.87
新竹縣,19401,8.76
苗栗縣,22865,11.05
彰化縣,42344,10.29
南投縣,20535,12.08
雲林縣,31496,13.09
嘉義縣,20924,11.92
屏東縣,29791,10.10
臺東縣,12894,14.70
花蓮縣,17925,13.56
澎湖縣,3325,9.93
基隆市,21206,12.64
新竹市,14653,8.10
嘉義市,12161,11.16
金門縣,4396,18.59
連江縣,328,10.79
