縣市,107宅數,107比率(%)
全國,851509,9.81
新北市,133994,8.33
臺北市,59801,6.67
桃園市,88216,10.58
臺中市,95605,9.32
臺南市,66547,9.66
高雄市,106955,10.11
宜蘭縣,30810,16.38
新竹縣,20501,9.94
苗栗縣,22872,11.54
彰化縣,40999,10.29
南投縣,19555,11.81
雲林縣,28653,12.06
嘉義縣,20344,11.86
屏東縣,28478,9.96
臺東縣,12075,13.99
花蓮縣,17540,13.55
澎湖縣,2783,8.55
基隆市,21512,13.02
新竹市,16822,9.76
嘉義市,13025,12.23
金門縣,3966,18.22
連江縣,456,15.51
