縣市,103宅數,103比率(%)
全國,788704,9.56
新北市,118905,7.80
臺北市,59911,6.79
桃園市,79805,10.45
臺中市,91409,9.43
臺南市,60496,9.24
高雄市,100855,9.97
宜蘭縣,26437,15.06
新竹縣,18021,9.78
苗栗縣,18169,9.88
彰化縣,39636,10.35
南投縣,18537,11.61
雲林縣,28366,12.34
嘉義縣,19968,11.91
屏東縣,27695,10.03
臺東縣,11278,13.43
花蓮縣,17263,13.55
澎湖縣,2680,8.53
基隆市,20489,12.82
新竹市,13717,8.54
嘉義市,12429,11.96
金門縣,2273,12.80
連江縣,365,14.80
