縣市,鄉鎮市區,村里,107年第二季宅數
彰化縣,彰化市,文化里,1
彰化縣,彰化市,下?里,19
彰化縣,彰化市,興北里,0
彰化縣,彰化市,信義里,0
彰化縣,彰化市,民生里,0
彰化縣,彰化市,陽明里,1
彰化縣,彰化市,萬安里,8
彰化縣,彰化市,新興里,8
彰化縣,彰化市,新華里,1
彰化縣,彰化市,龍山里,0
彰化縣,彰化市,中山里,0
彰化縣,彰化市,中正里,0
彰化縣,彰化市,永福里,0
彰化縣,彰化市,光復里,0
彰化縣,彰化市,光華里,0
彰化縣,彰化市,萬壽里,0
彰化縣,彰化市,中央里,0
彰化縣,彰化市,富貴里,2
彰化縣,彰化市,民權里,0
彰化縣,彰化市,西興里,0
彰化縣,彰化市,西勢里,3
彰化縣,彰化市,忠孝里,0
彰化縣,彰化市,忠權里,1
彰化縣,彰化市,五權里,0
彰化縣,彰化市,長樂里,0
彰化縣,彰化市,東芳里,2
彰化縣,彰化市,南安里,1
彰化縣,彰化市,南美里,0
彰化縣,彰化市,莿桐里,0
彰化縣,彰化市,磚?里,0
彰化縣,彰化市,平和里,0
彰化縣,彰化市,桃源里,1
彰化縣,彰化市,卦山里,5
彰化縣,彰化市,東興里,0
彰化縣,彰化市,大同里,2
彰化縣,彰化市,永生里,1
彰化縣,彰化市,華陽里,0
彰化縣,彰化市,華北里,0
彰化縣,彰化市,南?里,8
彰化縣,彰化市,成功里,2
彰化縣,彰化市,延和里,20
彰化縣,彰化市,南興里,0
彰化縣,彰化市,西安里,0
彰化縣,彰化市,彰安里,2
彰化縣,彰化市,光南里,0
彰化縣,彰化市,介壽里,0
彰化縣,彰化市,延平里,31
彰化縣,彰化市,建寶里,0
彰化縣,彰化市,福安里,0
彰化縣,彰化市,大竹里,73
彰化縣,彰化市,竹中里,2
彰化縣,彰化市,安溪里,2
彰化縣,彰化市,香山里,0
彰化縣,彰化市,牛埔里,1
彰化縣,彰化市,福山里,3
彰化縣,彰化市,中庄里,0
彰化縣,彰化市,三村里,0
彰化縣,彰化市,國聖里,0
彰化縣,彰化市,寶?里,0
彰化縣,彰化市,茄苳里,4
彰化縣,彰化市,茄南里,15
彰化縣,彰化市,阿夷里,37
彰化縣,彰化市,古夷里,0
彰化縣,彰化市,復興里,14
彰化縣,彰化市,和調里,0
彰化縣,彰化市,石牌里,0
彰化縣,彰化市,福田里,0
彰化縣,彰化市,竹巷里,0
彰化縣,彰化市,田中里,0
彰化縣,彰化市,快官里,2
彰化縣,彰化市,台鳳里,0
彰化縣,彰化市,崙平里,23
彰化縣,彰化市,向陽里,15
彰化縣,鹿港鎮,大有里,0
彰化縣,鹿港鎮,中興里,1
彰化縣,鹿港鎮,洛津里,7
彰化縣,鹿港鎮,順興里,1
彰化縣,鹿港鎮,頂厝里,19
彰化縣,鹿港鎮,東崎里,16
彰化縣,鹿港鎮,埔崙里,14
彰化縣,鹿港鎮,東石里,2
彰化縣,鹿港鎮,郭厝里,1
彰化縣,鹿港鎮,新宮里,0
彰化縣,鹿港鎮,玉順里,0
彰化縣,鹿港鎮,景福里,0
彰化縣,鹿港鎮,泰興里,3
彰化縣,鹿港鎮,長興里,0
彰化縣,鹿港鎮,龍山里,0
彰化縣,鹿港鎮,興化里,0
彰化縣,鹿港鎮,菜園里,0
彰化縣,鹿港鎮,街尾里,1
彰化縣,鹿港鎮,頂番里,0
彰化縣,鹿港鎮,頭崙里,0
彰化縣,鹿港鎮,廖厝里,2
彰化縣,鹿港鎮,溝墘里,0
彰化縣,鹿港鎮,草中里,10
彰化縣,鹿港鎮,頭南里,4
彰化縣,鹿港鎮,山崙里,0
彰化縣,鹿港鎮,海埔里,2
彰化縣,鹿港鎮,詔安里,2
彰化縣,鹿港鎮,洋厝里,0
彰化縣,鹿港鎮,永安里,2
彰化縣,和美鎮,竹營里,81
彰化縣,和美鎮,和東里,27
彰化縣,和美鎮,和南里,0
彰化縣,和美鎮,和北里,0
彰化縣,和美鎮,和西里,1
彰化縣,和美鎮,四張里,0
彰化縣,和美鎮,頭前里,0
彰化縣,和美鎮,還社里,0
彰化縣,和美鎮,面前里,26
彰化縣,和美鎮,鎮平里,16
彰化縣,和美鎮,大霞里,0
彰化縣,和美鎮,源埤里,3
彰化縣,和美鎮,南佃里,0
彰化縣,和美鎮,雅溝里,0
彰化縣,和美鎮,山犁里,12
彰化縣,和美鎮,嘉犁里,2
彰化縣,和美鎮,鐵山里,1
彰化縣,和美鎮,詔安里,2
彰化縣,和美鎮,柑井里,40
彰化縣,和美鎮,竹園里,0
彰化縣,和美鎮,新庄里,12
彰化縣,和美鎮,犁盛里,5
彰化縣,和美鎮,中寮里,0
彰化縣,和美鎮,中圍里,1
彰化縣,和美鎮,糖友里,2
彰化縣,和美鎮,塗厝里,0
彰化縣,和美鎮,地潭里,0
彰化縣,和美鎮,湖內里,0
彰化縣,和美鎮,嘉寶里,1
彰化縣,和美鎮,月眉里,0
彰化縣,和美鎮,好修里,0
彰化縣,和美鎮,仁愛里,8
