縣市,鄉鎮市區,村里,103年宅數,103年比例
屏東縣,屏東市,光榮里,39,9.86%
屏東縣,屏東市,文明里,58,25.60%
屏東縣,屏東市,武廟里,13,8.59%
屏東縣,屏東市,大同里,32,10.86%
屏東縣,屏東市,泰安里,42,12.90%
屏東縣,屏東市,端正里,17,12.39%
屏東縣,屏東市,民權里,47,15.06%
屏東縣,屏東市,大埔里,51,14.39%
屏東縣,屏東市,必信里,27,9.66%
屏東縣,屏東市,崇智里,31,14.79%
屏東縣,屏東市,崇禮里,31,18.90%
屏東縣,屏東市,維新里,140,12.26%
屏東縣,屏東市,安樂里,63,18.15%
屏東縣,屏東市,平和里,20,6.56%
屏東縣,屏東市,楠樹里,37,17.19%
屏東縣,屏東市,扶風里,39,14.05%
屏東縣,屏東市,慶春里,34,18.80%
屏東縣,屏東市,金泉里,40,12.23%
屏東縣,屏東市,勝豐里,35,17.68%
屏東縣,屏東市,橋南里,128,17.90%
屏東縣,屏東市,橋北里,66,13.83%
屏東縣,屏東市,長春里,125,13.41%
屏東縣,屏東市,豐榮里,151,11.01%
屏東縣,屏東市,豐源里,187,11.22%
屏東縣,屏東市,豐田里,186,10.41%
屏東縣,屏東市,大連里,300,7.37%
屏東縣,屏東市,湖西里,33,7.00%
屏東縣,屏東市,湖南里,25,7.08%
屏東縣,屏東市,歸心里,20,5.69%
屏東縣,屏東市,瑞光里,437,11.25%
屏東縣,屏東市,新生里,265,11.29%
屏東縣,屏東市,頂宅里,38,20.57%
屏東縣,屏東市,厚生里,167,12.27%
屏東縣,屏東市,擇仁里,118,18.20%
屏東縣,屏東市,建國里,70,11.76%
屏東縣,屏東市,一心里,71,9.94%
屏東縣,屏東市,萬年里,52,13.26%
屏東縣,屏東市,義勇里,79,13.66%
屏東縣,屏東市,光華里,37,10.44%
屏東縣,屏東市,永安里,298,9.42%
屏東縣,屏東市,新興里,50,6.94%
屏東縣,屏東市,公館里,40,8.15%
屏東縣,屏東市,龍華里,93,10.96%
屏東縣,屏東市,玉成里,40,8.68%
屏東縣,屏東市,頂柳里,18,5.24%
屏東縣,屏東市,大湖里,83,12.65%
屏東縣,屏東市,凌雲里,25,22.09%
屏東縣,屏東市,鵬程里,0,0.00%
屏東縣,屏東市,安鎮里,83,9.99%
屏東縣,屏東市,永光里,36,9.01%
屏東縣,屏東市,大洲里,32,7.81%
屏東縣,屏東市,大武里,391,10.80%
屏東縣,屏東市,前進里,160,13.75%
屏東縣,屏東市,清溪里,202,11.17%
屏東縣,屏東市,長安里,63,9.80%
屏東縣,屏東市,永順里,33,22.94%
屏東縣,屏東市,永昌里,24,21.69%
屏東縣,屏東市,斯文里,102,11.29%
屏東縣,屏東市,華山里,210,9.74%
屏東縣,屏東市,興樂里,45,12.70%
