縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
桃園市,東門段208-1地號都市更新事業(東門停車場),桃園市政府,70,107/9/12,109/7/14,112/12/7,新完工
桃園市,中路一號社會住宅,桃園市政府,169,107/8/24,107/10/31,110/5/17,新完工
桃園市,中路二號社會住宅,桃園市政府,212,105/8/3,106/1/25,108/6/21,新完工
桃園市,中路三號社會住宅,桃園市政府,417,107/8/30,107/11/19,111/6/27,新完工
桃園市,中路四號社會住宅,桃園市政府,350,107/12/10,108/2/27,111/9/16,新完工
桃園市,中壢一號社會住宅,桃園市政府,957,107/7/16,108/8/7,111/8/12,新完工
桃園市,中壢老小段100地號都市更新事業(中興巷警察宿舍),桃園市政府,93,107/1/5,109/4/1,113/3/27,新完工
桃園市,楊梅一號社會住宅-第一期,桃園市政府,216,108/10/24,109/7/18,112/9/3,新完工
桃園市,蘆竹二號社會住宅,桃園市政府,416,106/6/26,107/4/10,111/1/25,新完工
桃園市,蘆竹一號社會住宅,桃園市政府,114,108/11/8,109/1/22,111/10/3,新完工
桃園市,八德一號社會住宅,桃園市政府,418,106/5/3,106/10/31,109/7/21,新完工
桃園市,八德二號社會住宅,桃園市政府,354,106/5/23,106/5/24,109/12/30,新完工
桃園市,八德三號社會住宅,桃園市政府,524,106/12/14,107/9/7,112/2/21,新完工
桃園市,平鎮一號社會住宅,桃園市政府,64,108/10/24,109/7/18,112/3/25,新完工
桃園市,中正段1209地號等16筆土地及法政段1222等3筆土地都市更新事業(正光路警察宿舍),桃園市政府,255,111/12/29,112/5/19,(預定)115/10/31,興建中
桃園市,慈文安居,中央(住都中心),288,110/3/9,111/3/7,(預定)114/2/24,興建中
桃園市,桃園段武陵小段31地號都市更新事業(復興路),桃園市政府,75,109/9/1,113/1/18,(預定)116/12/31,興建中
桃園市,龍岡好室,中央(住都中心),150,110/5/19,111/6/2,(預定)114/1/31,興建中
桃園市,振興安居,中央(住都中心),370,112/8/16,113/12/6,(預定)117/5/31,興建中
桃園市,捷運A20站,桃園市政府,347,113/1/30,113/12/12,(預定)117/1/31,興建中
桃園市,埔心安居,中央(住都中心),486,112/6/28,113/7/22,(預定)116/7/31,興建中
桃園市,蘆竹區大興段,桃園市政府,73,112/7/14,113/11/7,(預定)116/7/31,興建中
桃園市,捷運A10站,桃園市政府,369,112/7/14,113/11/13,(預定)116/7/31,興建中
桃園市,龜山區興安段,桃園市政府,130,112/7/31,113/10/16,(預定)116/10/31,興建中
桃園市,龜山區善捷段,桃園市政府,336,112/7/31,113/10/15,(預定)116/10/31,興建中
桃園市,樂善安居,中央(住都中心),790,112/6/28,113/10/1,(預定)117/12/31,興建中
