縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
臺中市,東勢子段,臺中市政府,100,109/7/6,110/3/16,113/9/3,新完工
臺中市,尚武段,臺中市政府,802,108/1/11,108/4/2,112/5/6,新完工
臺中市,國安段一期,臺中市政府,500,109/7/31,110/5/11,113/9/10,新完工
臺中市,建功段4-1地號,臺中市政府,98,-,108/10/28,113/3/5,新完工
臺中市,建功段26地號,臺中市政府,78,-,108/9/12,111/10/28,新完工
臺中市,精密機械科技創新園區「勞工住宅」社區,臺中市政府,190,-,106/4/28,108/8/27,新完工
臺中市,南屯區建功段31-1地號,臺中市政府,91,-,109/9/30,113/3/5,新完工
臺中市,北屯段,臺中市政府,220,107/5/25,107/11/15,111/4/29,新完工
臺中市,安康段一期,臺中市政府,200,104/10/2,104/11/9,107/3/20,新完工
臺中市,三民段一期,臺中市政府,300,107/8/14,107/10/15,110/6/30,新完工
臺中市,台糖公營學苑,中央(住都中心),203,111/8/29,112/4/12,112/7/10,新完工
臺中市,育賢段一期,臺中市政府,300,106/6/29,106/8/12,109/6/29,新完工
臺中市,育賢段二期,臺中市政府,428,107/11/28,108/2/17,112/6/5,新完工
臺中市,永億段,臺中市政府,160,109/11/4,110/3/1,113/8/22,新完工
臺中市,光正段一期,臺中市政府,201,105/7/20,105/9/1,107/10/27,新完工
臺中市,東區練武段1060地號,臺中市政府,481,112/7/13,113/9/25,(預定)117/12/31,興建中
臺中市,惠來厝段,臺中市政府,400,110/8/27,110/12/22,(預定)114/7/31,興建中
臺中市,惠民安居,中央(住都中心),210,111/3/22,112/6/2,(預定)116/2/28,興建中
臺中市,鑫港尾段,臺中市政府,127,112/7/7,113/3/15,(預定)116/12/31,興建中
臺中市,國安段二期暨三期,臺中市政府,780,112/9/15,113/10/24,(預定)118/4/30,興建中
臺中市,春社安居A,中央(住都中心),402,111/6/30,113/3/26,(預定)117/1/11,興建中
臺中市,南屯區建功段7地號,臺中市政府,101,-,110/8/31,(預定)114/12/31,興建中
臺中市,南屯建功49地號,臺中市政府,13,-,112/6/9,(預定)116/12/31,興建中
臺中市,同榮段,臺中市政府,560,107/7/31,107/11/7,(預定)114/7/10,興建中
臺中市,廍子安居,中央(住都中心),1430,112/5/24,113/8/9,(預定)117/8/17,興建中
