縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
新北市,五股銀髮住宅,新北市政府,71,-,105/1/1,90/2/28,既有
新北市,臺北橋聯開宅,臺北市政府,18,-,99/9/2,101/12/20,既有
新北市,三重集美段社宅,新北市政府,8,-,105/1/1,105/1/1,既有
新北市,小碧潭站社會住宅戶(新北市新店區新店機廠聯開宅),臺北市政府,17,-,104/1/1,104/1/1,既有
新北市,新店中正國宅,新北市政府,56,-,80/4/30,82/8/31,既有
新北市,三峽隆恩埔(原民宅),新北市政府,150,-,94/6/30,96/5/31,既有
新北市,汐止花東新村,新北市政府,126,-,-,88/6/24,既有
新北市,永和國光青年住宅,新北市政府,7,101/1/16,101/5/15,102/4/12,既有
新北市,新莊新豐青年社會住宅,新北市政府,76,-,103/10/1,106/9/25,新完工
新北市,新莊副都心段一小段224地號,新北市政府,23,108/5/22,108/5/22,112/7/5,新完工
新北市,林口世大運選手村社會住宅,中央(住都中心),2907,102/8/9,103/5/8,107/8/31,新完工
新北市,五股芳洲(203)青年社會住宅,新北市政府,23,108/1/31,108/10/15,113/6/7,新完工
新北市,成州段77-7等1筆地號,新北市政府,10,108/12/13,108/12/13,113/1/2,新完工
新北市,五股成州段4等1筆地號,新北市政府,11,109/10/14,109/10/14,113/11/25,新完工
新北市,大安青年社會住宅(三重1館),新北市政府,133,-,103/3/7,105/5/15,新完工
新北市,大同南青年社會住宅(三重2館-西側),新北市政府,119,-,103/3/7,105/3/15,新完工
新北市,大同南青年社會住宅(三重3館-東側),新北市政府,75,-,104/3/10,106/1/10,新完工
新北市,三重五谷王(27)青年社會住宅,新北市政府,12,-,107/3/28,109/4/29,新完工
新北市,三重段309等1筆地號,新北市政府,18,109/2/19,109/2/19,113/8/23,新完工
新北市,五谷王段349、348、347、346、340、339等6筆地號,新北市政府,19,109/12/18,109/12/18,113/9/20,新完工
新北市,泰山信華青年社會住宅,新北市政府,14,108/10/1,108/10/1,113/6/14,新完工
新北市,信華段一小段8、7、信華段二小段19、18、17、16、15、14、12等9筆地號,新北市政府,11,109/8/19,109/8/19,113/11/29,新完工
新北市,新店央北青年社會住宅,新北市政府,1070,105/4/28,106/3/21,109/1/23,新完工
新北市,新店民安青年社會住宅,新北市政府,194,108/11/28,109/12/18,113/4/3,新完工
新北市,新店斯馨(2)青年社會住宅,新北市政府,14,-,107/4/10,111/4/22,新完工
新北市,新店斯馨(13、15)青年社會住宅,新北市政府,20,107/8/21,107/11/7,113/7/5,新完工
