縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
臺南市,台糖歸仁學苑,中央(住都中心),202,111/8/29,112/4/12,112/7/10,新完工
臺南市,新都安居A,中央(住都中心),621,110/3/18,110/10/1,(預定)114/6/20,興建中
臺南市,開南安居A,中央(住都中心),150,110/10/21,111/7/13,(預定)114/11/26,興建中
臺南市,開南安居B,中央(住都中心),150,110/10/21,111/7/13,(預定)114/11/26,興建中
臺南市,小東路北側基地公營住宅,臺南市政府,379,110/5/20,110/7/1,(預定)114/3/31,興建中
臺南市,和順安居,中央(住都中心),1703,111/12/23,113/3/1,(預定)117/5/31,興建中
臺南市,億載安居,中央(住都中心),537,111/12/8,112/9/23,(預定)116/7/8,興建中
臺南市,長勝好室,中央(住都中心),140,112/6/29,113/9/1,(預定)116/11/4,興建中
臺南市,新市安居,中央(住都中心),670,110/9/16,111/9/15,(預定)114/12/9,興建中
臺南市,二空新村更新案(A區)第一期,臺南市政府,75,109/2/29,110/10/14,(預定)114/3/31,興建中
臺南市,精忠二村更新案,臺南市政府,110,109/2/29,110/10/5,(預定)114/2/28,興建中
臺南市,橋北安居,中央(住都中心),241,111/6/28,112/5/12,(預定)115/11/19,興建中
臺南市,正強安居,中央(住都中心),464,112/6/27,113/5/6,(預定)117/1/20,興建中
臺南市,東橋安居,中央(住都中心),220,111/3/10,112/5/18,(預定)115/2/28,興建中
臺南市,永康區康橋段,臺南市政府,445,111/11/7,113/12/30,(預定)120/12/31,興建中
臺南市,平實營區更新案第一期,臺南市政府,220,110/2/28,(預定)114/3/31,(預定)118/12/31,已決標待開工
臺南市,平實營區更新案第二期,臺南市政府,175,110/12/3,(預定)114/12/31,(預定)118/12/31,已決標待開工
臺南市,平實安居A,中央(住都中心),138,113/9/30,(預定)114/6/9,(預定)117/11/19,已決標待開工
臺南市,平實安居B,中央(住都中心),552,113/9/30,(預定)114/6/8,(預定)117/11/19,已決標待開工
臺南市,平實安居C,中央(住都中心),348,113/9/30,(預定)114/6/8,(預定)118/1/18,已決標待開工
臺南市,平實安居D,中央(住都中心),325,113/11/28,(預定)114/12/31,(預定)117/11/30,已決標待開工
臺南市,新都安居B,中央(住都中心),611,113/11/27,(預定)114/10/31,(預定)117/11/26,已決標待開工
臺南市,鯤鯓安居,中央(住都中心),665,112/12/22,(預定)114/3/31,(預定)117/8/31,已決標待開工
臺南市,自強新村,臺南市政府,160,111/8/9,(預定)114/12/31,(預定)118/12/31,已決標待開工
臺南市,中興新城,臺南市政府,104,111/2/25,(預定)114/12/31,(預定)118/12/31,已決標待開工
臺南市,九六新村,臺南市政府,250,113/10/11,(預定)116/12/31,(預定)120/12/31,已決標待開工
臺南市,九六新村眷改土地都市更新案,中央(住都中心),455,113/10/11,(預定)117/6/30,(預定)122/6/30,已決標待開工
臺南市,六安好室,中央(住都中心),165,113/7/30,(預定)114/7/31,(預定)117/5/31,已決標待開工
臺南市,二空新村更新案(B區)第二期,臺南市政府,170,110/2/28,(預定)114/3/31,(預定)116/6/30,已決標待開工
臺南市,裕忠安居,中央(住都中心),610,112/12/28,(預定)114/1/10,(預定)117/7/31,已決標待開工
臺南市,沙崙安居,中央(住都中心),580,113/12/16,(預定)114/11/13,(預定)118/5/24,已決標待開工
臺南市,武東好室,中央(住都中心),193,113/11/28,(預定)114/12/31,(預定)118/5/31,已決標待開工
臺南市,台糖歸仁學苑,中央(住都中心),202,111/8/29,112/4/12,112/7/10,新完工
臺南市,新都安居A,中央(住都中心),621,110/3/18,110/10/1,(預定)114/6/20,興建中
臺南市,開南安居A,中央(住都中心),150,110/10/21,111/7/13,(預定)114/11/26,興建中
臺南市,開南安居B,中央(住都中心),150,110/10/21,111/7/13,(預定)114/11/26,興建中
臺南市,小東路北側基地公營住宅,臺南市政府,379,110/5/20,110/7/1,(預定)114/3/31,興建中
臺南市,和順安居,中央(住都中心),1703,111/12/23,113/3/1,(預定)117/5/31,興建中
臺南市,億載安居,中央(住都中心),537,111/12/8,112/9/23,(預定)116/7/8,興建中
臺南市,長勝好室,中央(住都中心),140,112/6/29,113/9/1,(預定)116/11/4,興建中
臺南市,新市安居,中央(住都中心),670,110/9/16,111/9/15,(預定)114/12/9,興建中
臺南市,二空新村更新案(A區)第一期,臺南市政府,75,109/2/29,110/10/14,(預定)114/3/31,興建中
臺南市,精忠二村更新案,臺南市政府,110,109/2/29,110/10/5,(預定)114/2/28,興建中
臺南市,橋北安居,中央(住都中心),241,111/6/28,112/5/12,(預定)115/11/19,興建中
臺南市,正強安居,中央(住都中心),464,112/6/27,113/5/6,(預定)117/1/20,興建中
臺南市,東橋安居,中央(住都中心),220,111/3/10,112/5/18,(預定)115/2/28,興建中
臺南市,永康區康橋段,臺南市政府,445,111/11/7,113/12/30,(預定)120/12/31,興建中
臺南市,平實營區更新案第一期,臺南市政府,220,110/2/28,(預定)114/3/31,(預定)118/12/31,已決標待開工
臺南市,平實營區更新案第二期,臺南市政府,175,110/12/3,(預定)114/12/31,(預定)118/12/31,已決標待開工
臺南市,平實安居A,中央(住都中心),138,113/9/30,(預定)114/6/9,(預定)117/11/19,已決標待開工
臺南市,平實安居B,中央(住都中心),552,113/9/30,(預定)114/6/8,(預定)117/11/19,已決標待開工
臺南市,平實安居C,中央(住都中心),348,113/9/30,(預定)114/6/8,(預定)118/1/18,已決標待開工
