縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
新竹縣,新湖好室,中央(住都中心),132,111/12/21,112/11/20,(預定)116/1/31,興建中
新竹縣,東林好室,中央(住都中心),90,112/10/31,(預定)114/8/29,(預定)117/9/30,已決標待開工
新竹縣,新湖好室,中央(住都中心),132,111/12/21,112/11/20,(預定)116/1/31,興建中
新竹縣,東林好室,中央(住都中心),90,112/10/31,(預定)114/8/29,(預定)117/9/30,已決標待開工
