縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
嘉義縣,福樂安居,中央(住都中心),630,110/12/10,111/8/31,(預定)116/11/30,興建中
嘉義縣,朴子安居,中央(住都中心),376,113/8/29,(預定)114/7/25,(預定)117/10/7,已決標待開工
嘉義縣,福樂安居,中央(住都中心),630,110/12/10,111/8/31,(預定)116/11/30,興建中
嘉義縣,朴子安居,中央(住都中心),376,113/8/29,(預定)114/7/25,(預定)117/10/7,已決標待開工
