縣市,案名,興辦主體,戶數,工程決標日期,開工日期,完工日期,執行情況
屏東縣,台糖椰林學苑,中央(住都中心),229,111/8/29,112/4/12,112/7/10,新完工
屏東縣,瑞屏安居,中央(住都中心),520,111/1/22,111/9/21,(預定)115/7/31,興建中
屏東縣,光春好室,中央(住都中心),172,111/9/28,112/7/6,(預定)116/03/03,興建中
屏東縣,鶴聲好室,中央(住都中心),166,113/8/30,(預定)114/9/10,(預定)117/7/15,已決標待開工
屏東縣,永城好室,中央(住都中心),187,113/8/30,(預定)114/9/10,(預定)117/7/15,已決標待開工
屏東縣,台糖椰林學苑,中央(住都中心),229,111/8/29,112/4/12,112/7/10,新完工
屏東縣,瑞屏安居,中央(住都中心),520,111/1/22,111/9/21,(預定)115/7/31,興建中
屏東縣,光春好室,中央(住都中心),172,111/9/28,112/7/6,(預定)116/03/03,興建中
屏東縣,鶴聲好室,中央(住都中心),166,113/8/30,(預定)114/9/10,(預定)117/7/15,已決標待開工
屏東縣,永城好室,中央(住都中心),187,113/8/30,(預定)114/9/10,(預定)117/7/15,已決標待開工
