縣市,鄉鎮市區,村里,101年宅數,101年比例
桃園市,桃園區,文化里,39,12.29%
桃園市,桃園區,文明里,71,11.69%
桃園市,桃園區,武陵里,238,19.34%
桃園市,桃園區,大林里,317,9.16%
桃園市,桃園區,忠義里,361,9.44%
桃園市,桃園區,會稽里,377,8.93%
桃園市,桃園區,長美里,83,17.60%
桃園市,桃園區,民生里,121,13.72%
桃園市,桃園區,永興里,95,12.38%
桃園市,桃園區,汴洲里,153,8.93%
桃園市,桃園區,永安里,186,9.07%
桃園市,桃園區,東埔里,205,9.75%
桃園市,桃園區,東門里,192,12.81%
桃園市,桃園區,東山里,161,14.32%
桃園市,桃園區,萬壽里,47,10.11%
桃園市,桃園區,長安里,166,10.87%
桃園市,桃園區,中埔里,32,4.61%
桃園市,桃園區,西埔里,99,8.87%
桃園市,桃園區,西門里,168,17.33%
桃園市,桃園區,中和里,82,13.57%
桃園市,桃園區,文昌里,18,5.78%
桃園市,桃園區,新埔里,393,9.38%
桃園市,桃園區,中山里,287,9.84%
桃園市,桃園區,慈文里,215,8.21%
桃園市,桃園區,西湖里,85,12.00%
桃園市,桃園區,南門里,221,9.17%
桃園市,桃園區,南華里,56,10.00%
桃園市,桃園區,玉山里,227,10.74%
桃園市,桃園區,中成里,150,8.86%
桃園市,桃園區,中正里,244,11.07%
桃園市,桃園區,北門里,100,11.81%
桃園市,桃園區,雲林里,165,6.25%
桃園市,桃園區,福林里,141,7.20%
桃園市,桃園區,光興里,240,11.94%
桃園市,桃園區,龍山里,206,13.11%
桃園市,桃園區,龍岡里,238,8.92%
桃園市,桃園區,成功里,222,12.94%
桃園市,桃園區,青溪里,176,9.57%
桃園市,桃園區,朝陽里,119,11.98%
桃園市,桃園區,中興里,212,9.96%
桃園市,桃園區,豐林里,232,8.83%
桃園市,桃園區,建國里,202,8.76%
桃園市,桃園區,大豐里,139,7.21%
桃園市,桃園區,福安里,249,11.56%
桃園市,桃園區,三民里,189,10.01%
桃園市,桃園區,大興里,442,8.94%
桃園市,桃園區,春日里,257,9.54%
桃園市,桃園區,信光里,283,9.84%
桃園市,桃園區,中寧里,443,13.13%
桃園市,桃園區,同安里,363,10.25%
桃園市,桃園區,莊敬里,430,10.99%
桃園市,桃園區,文中里,75,8.22%
桃園市,桃園區,泰山里,201,12.62%
桃園市,桃園區,中路里,196,9.99%
桃園市,桃園區,中德里,344,15.11%
桃園市,桃園區,龍祥里,200,9.52%
桃園市,桃園區,大有里,230,10.01%
桃園市,桃園區,寶山里,285,7.63%
桃園市,桃園區,龍鳳里,247,7.92%
桃園市,桃園區,龍安里,176,8.42%
桃園市,桃園區,自強里,366,10.12%
桃園市,桃園區,中信里,292,11.53%
桃園市,桃園區,長德里,231,11.34%
桃園市,桃園區,中平里,222,10.04%
桃園市,桃園區,中原里,159,7.82%
桃園市,桃園區,中泰里,141,7.71%
桃園市,桃園區,南埔里,243,11.63%
桃園市,桃園區,寶慶里,246,7.97%
桃園市,桃園區,北埔里,169,8.33%
桃園市,桃園區,中聖里,254,9.05%
桃園市,桃園區,龍壽里,145,7.76%
桃園市,桃園區,同德里,278,9.34%
桃園市,桃園區,明德里,103,6.92%
桃園市,桃園區,寶安里,324,8.87%
桃園市,桃園區,瑞慶里,294,10.65%
桃園市,桃園區,三元里,205,12.27%
桃園市,中壢區,龍平里,126,9.51%
桃園市,中壢區,龍昌里,180,7.83%
桃園市,中壢區,仁德里,192,12.60%
桃園市,中壢區,永興里,92,17.59%
桃園市,中壢區,內壢里,95,10.77%
