縣市,鄉鎮市區,村里,102年宅數,102年比例
新竹市,東區,南門里,164,29.26%
新竹市,東區,福德里,104,12.92%
新竹市,東區,南市里,67,13.53%
新竹市,東區,關帝里,40,14.05%
新竹市,東區,東門里,22,8.41%
新竹市,東區,榮光里,10,9.18%
新竹市,東區,成功里,38,10.97%
新竹市,東區,下竹里,43,9.95%
新竹市,東區,竹蓮里,34,10.55%
新竹市,東區,寺前里,38,12.03%
新竹市,東區,育賢里,93,24.62%
新竹市,東區,中正里,26,11.62%
新竹市,東區,公園里,154,9.65%
新竹市,東區,頂竹里,142,10.86%
新竹市,東區,南大里,64,10.68%
新竹市,東區,振興里,142,4.98%
新竹市,東區,親仁里,71,8.58%
新竹市,東區,文華里,169,7.95%
新竹市,東區,復中里,188,9.18%
新竹市,東區,三民里,246,10.22%
新竹市,東區,東園里,166,7.17%
新竹市,東區,東勢里,32,3.32%
新竹市,東區,光復里,79,8.80%
新竹市,東區,豐功里,152,6.53%
新竹市,東區,武功里,102,4.84%
新竹市,東區,綠水里,215,7.37%
新竹市,東區,東山里,107,7.85%
新竹市,東區,光鎮里,78,5.65%
新竹市,東區,新興里,109,7.87%
新竹市,東區,柴橋里,310,12.64%
新竹市,東區,高峰里,186,7.57%
新竹市,東區,仙宮里,47,6.18%
新竹市,東區,光明里,235,12.12%
新竹市,東區,立功里,62,12.01%
新竹市,東區,軍功里,144,8.75%
新竹市,東區,建功里,277,16.51%
新竹市,東區,前溪里,40,5.46%
新竹市,東區,水源里,65,6.81%
新竹市,東區,千甲里,34,5.87%
新竹市,東區,埔頂里,127,7.22%
新竹市,東區,龍山里,680,22.34%
新竹市,東區,新莊里,309,6.03%
新竹市,東區,仙水里,137,5.90%
新竹市,東區,金山里,209,6.13%
新竹市,東區,關東里,343,14.58%
新竹市,東區,科園里,180,6.89%
新竹市,東區,建華里,69,7.17%
新竹市,東區,新光里,81,5.93%
新竹市,東區,復興里,221,9.87%
新竹市,東區,錦華里,241,21.10%
新竹市,東區,湖濱里,112,8.13%
新竹市,東區,明湖里,169,6.37%
新竹市,東區,關新里,0,0.00%
新竹市,北區,西門里,47,18.86%
新竹市,北區,仁德里,70,15.44%
新竹市,北區,潛園里,47,12.66%
新竹市,北區,中央里,22,12.10%
新竹市,北區,崇禮里,41,8.08%
新竹市,北區,石坊里,35,10.76%
新竹市,北區,興南里,79,10.45%
新竹市,北區,北門里,42,9.70%
新竹市,北區,中興里,50,15.07%
新竹市,北區,大同里,62,15.50%
新竹市,北區,中山里,43,15.51%
新竹市,北區,長和里,52,7.69%
新竹市,北區,新民里,64,8.58%
新竹市,北區,民富里,163,8.75%
新竹市,北區,水田里,219,13.14%
新竹市,北區,文雅里,164,9.47%
新竹市,北區,光田里,64,6.75%
新竹市,北區,士林里,42,7.85%
新竹市,北區,福林里,93,5.89%
新竹市,北區,古賢里,13,5.35%
新竹市,北區,湳雅里,31,2.75%
新竹市,北區,舊社里,169,7.00%
新竹市,北區,武陵里,107,5.06%
新竹市,北區,南寮里,221,10.15%
新竹市,北區,舊港里,23,12.88%
新竹市,北區,康樂里,86,8.67%
新竹市,北區,港北里,60,11.82%
新竹市,北區,中寮里,93,6.62%
新竹市,北區,海濱里,141,9.79%
新竹市,北區,客雅里,194,7.83%
新竹市,北區,育英里,220,12.05%
新竹市,北區,曲溪里,133,6.93%
新竹市,北區,西雅里,109,8.18%
新竹市,北區,南勢里,97,7.01%
新竹市,北區,大鵬里,0,0.00%
新竹市,北區,境福里,139,6.67%
新竹市,北區,磐石里,166,7.62%
新竹市,北區,新雅里,145,9.73%
新竹市,北區,光華里,146,9.34%
新竹市,北區,金華里,199,8.31%
新竹市,北區,金竹里,143,5.87%
新竹市,北區,湳中里,233,6.50%
新竹市,北區,金雅里,45,6.18%
新竹市,北區,台溪里,226,16.69%
新竹市,北區,中雅里,0,0.00%
新竹市,香山區,港南里,76,9.76%
新竹市,香山區,虎山里,107,6.26%
新竹市,香山區,虎林里,50,6.60%
新竹市,香山區,浸水里,70,9.80%
新竹市,香山區,樹下里,36,6.03%
新竹市,香山區,埔前里,83,6.64%
新竹市,香山區,中埔里,45,4.31%
新竹市,香山區,牛埔里,149,7.57%
新竹市,香山區,頂埔里,487,16.00%
新竹市,香山區,東香里,209,9.55%
新竹市,香山區,香村里,264,18.51%
新竹市,香山區,香山里,137,8.33%
新竹市,香山區,大庄里,78,6.89%
新竹市,香山區,美山里,16,4.58%
新竹市,香山區,朝山里,65,8.78%
新竹市,香山區,海山里,66,7.95%
新竹市,香山區,茄苳里,247,21.67%
新竹市,香山區,大湖里,23,7.93%
新竹市,香山區,南隘里,30,10.38%
新竹市,香山區,中隘里,104,12.08%
新竹市,香山區,內湖里,125,7.76%
新竹市,香山區,鹽水里,37,7.65%
新竹市,香山區,南港里,20,8.33%
新竹市,香山區,頂福里,158,9.05%
