縣市,鄉鎮市區,村里,106年宅數,106年比例
臺北市,松山區,莊敬里,69,4.24%
臺北市,松山區,東榮里,81,3.38%
臺北市,松山區,三民里,94,3.81%
臺北市,松山區,新益里,56,3.67%
臺北市,松山區,富錦里,79,4.28%
臺北市,松山區,新東里,134,7.53%
臺北市,松山區,富泰里,124,6.66%
臺北市,松山區,介壽里,52,4.24%
臺北市,松山區,精忠里,64,4.60%
臺北市,松山區,東光里,163,6.33%
臺北市,松山區,龍田里,99,3.15%
臺北市,松山區,東昌里,28,3.39%
臺北市,松山區,東勢里,127,8.93%
臺北市,松山區,中華里,79,4.10%
臺北市,松山區,民有里,163,5.14%
臺北市,松山區,民福里,106,4.30%
臺北市,松山區,慈祐里,245,8.10%
臺北市,松山區,安平里,258,7.96%
臺北市,松山區,鵬程里,64,3.84%
臺北市,松山區,自強里,85,2.88%
臺北市,松山區,吉祥里,127,4.31%
臺北市,松山區,新聚里,153,5.22%
臺北市,松山區,復盛里,91,4.33%
臺北市,松山區,中正里,189,6.62%
臺北市,松山區,中崙里,130,9.43%
臺北市,松山區,美仁里,48,4.78%
臺北市,松山區,吉仁里,42,3.66%
臺北市,松山區,敦化里,76,4.21%
臺北市,松山區,復源里,32,3.34%
臺北市,松山區,復建里,85,5.83%
臺北市,松山區,復勢里,154,7.19%
臺北市,松山區,福成里,41,5.43%
臺北市,松山區,松基里,56,3.90%
臺北市,信義區,西村里,64,4.49%
臺北市,信義區,正和里,116,7.44%
臺北市,信義區,興隆里,47,4.27%
臺北市,信義區,中興里,88,5.40%
臺北市,信義區,新仁里,117,8.89%
臺北市,信義區,興雅里,97,4.75%
臺北市,信義區,敦厚里,129,5.90%
臺北市,信義區,廣居里,73,3.07%
臺北市,信義區,安康里,264,6.29%
臺北市,信義區,六藝里,43,4.06%
臺北市,信義區,雅祥里,153,7.97%
臺北市,信義區,五常里,55,4.47%
臺北市,信義區,五全里,52,3.05%
臺北市,信義區,永吉里,69,5.89%
臺北市,信義區,長春里,39,2.89%
臺北市,信義區,四育里,80,4.44%
臺北市,信義區,四維里,62,3.39%
臺北市,信義區,永春里,76,4.72%
臺北市,信義區,富台里,78,4.42%
臺北市,信義區,國業里,74,3.17%
臺北市,信義區,松隆里,38,6.01%
臺北市,信義區,松友里,74,3.81%
臺北市,信義區,松光里,81,4.62%
臺北市,信義區,中坡里,40,2.90%
臺北市,信義區,中行里,100,4.14%
臺北市,信義區,大道里,65,3.11%
臺北市,信義區,大仁里,39,2.74%
臺北市,信義區,景新里,88,4.49%
臺北市,信義區,惠安里,98,4.37%
臺北市,信義區,三張里,130,4.22%
臺北市,信義區,三犁里,100,4.54%
臺北市,信義區,六合里,148,5.94%
臺北市,信義區,泰和里,257,9.07%
臺北市,信義區,景聯里,85,5.18%
臺北市,信義區,景勤里,60,4.41%
臺北市,信義區,雙和里,98,3.69%
臺北市,信義區,嘉興里,44,3.86%
臺北市,信義區,黎順里,84,5.22%
臺北市,信義區,黎平里,141,5.12%
臺北市,信義區,黎忠里,45,2.62%
臺北市,信義區,黎安里,18,4.60%
臺北市,大安區,德安里,128,6.39%
臺北市,大安區,仁慈里,122,7.70%
臺北市,大安區,和安里,149,7.32%
臺北市,大安區,民炤里,170,6.22%
臺北市,大安區,仁愛里,115,6.27%
臺北市,大安區,義村里,93,4.70%
臺北市,大安區,民輝里,143,5.56%
臺北市,大安區,昌隆里,39,3.41%
臺北市,大安區,誠安里,112,6.88%
臺北市,大安區,光武里,186,6.61%
臺北市,大安區,龍坡里,121,6.97%
臺北市,大安區,龍泉里,89,5.39%
臺北市,大安區,古風里,58,3.92%
臺北市,大安區,古莊里,304,10.90%
臺北市,大安區,龍安里,122,7.35%
臺北市,大安區,錦安里,168,8.75%
臺北市,大安區,福住里,101,5.62%
臺北市,大安區,永康里,110,9.62%
臺北市,大安區,光明里,87,7.80%
臺北市,大安區,錦泰里,78,7.78%
臺北市,大安區,錦華里,81,5.18%
臺北市,大安區,龍圖里,103,4.29%
臺北市,大安區,新龍里,58,3.01%
臺北市,大安區,龍陣里,44,3.64%
臺北市,大安區,龍雲里,81,5.12%
臺北市,大安區,龍生里,99,5.26%
臺北市,大安區,住安里,167,8.41%
臺北市,大安區,義安里,118,5.98%
臺北市,大安區,通化里,233,10.00%
臺北市,大安區,通安里,103,5.18%
臺北市,大安區,臨江里,59,3.96%
臺北市,大安區,法治里,89,5.51%
臺北市,大安區,全安里,75,4.57%
臺北市,大安區,群賢里,138,6.33%
臺北市,大安區,群英里,112,4.72%
臺北市,大安區,虎嘯里,112,7.03%
臺北市,大安區,臥龍里,72,10.47%
臺北市,大安區,龍淵里,114,4.80%
臺北市,大安區,龍門里,47,3.58%
臺北市,大安區,大學里,151,5.36%
臺北市,大安區,芳和里,150,7.72%
臺北市,大安區,黎元里,64,3.84%
臺北市,大安區,黎孝里,95,3.77%
臺北市,大安區,黎和里,122,6.69%
臺北市,大安區,建安里,100,5.51%
臺北市,大安區,建倫里,66,3.40%
臺北市,大安區,敦安里,69,3.56%
臺北市,大安區,正聲里,88,5.72%
臺北市,大安區,敦煌里,82,4.28%
臺北市,大安區,華聲里,76,5.33%
臺北市,大安區,車層里,85,4.30%
臺北市,大安區,光信里,114,4.69%
臺北市,大安區,學府里,48,9.65%
臺北市,中山區,正守里,121,8.87%
臺北市,中山區,正義里,274,8.26%
臺北市,中山區,正得里,349,14.88%
臺北市,中山區,民安里,189,8.98%
臺北市,中山區,康樂里,190,10.95%
臺北市,中山區,中山里,636,12.83%
臺北市,中山區,聚盛里,326,10.49%
臺北市,中山區,集英里,284,8.72%
臺北市,中山區,聚葉里,213,9.46%
臺北市,中山區,恆安里,283,9.15%
臺北市,中山區,晴光里,348,9.53%
臺北市,中山區,圓山里,171,8.48%
臺北市,中山區,劍潭里,61,4.12%
臺北市,中山區,大直里,88,3.06%
臺北市,中山區,成功里,222,7.29%
臺北市,中山區,永安里,150,4.39%
臺北市,中山區,大佳里,7,5.19%
臺北市,中山區,新喜里,92,4.88%
臺北市,中山區,新庄里,84,4.40%
臺北市,中山區,新福里,157,6.98%
臺北市,中山區,松江里,123,5.52%
臺北市,中山區,新生里,133,6.85%
臺北市,中山區,中庄里,162,7.92%
臺北市,中山區,行政里,69,3.82%
臺北市,中山區,行仁里,88,3.58%
臺北市,中山區,行孝里,117,8.40%
臺北市,中山區,下埤里,92,3.49%
臺北市,中山區,江寧里,116,4.48%
臺北市,中山區,江山里,101,3.71%
臺北市,中山區,中吉里,126,6.35%
臺北市,中山區,中原里,136,6.18%
臺北市,中山區,興亞里,348,13.61%
臺北市,中山區,中央里,60,4.73%
臺北市,中山區,朱馥里,99,4.57%
臺北市,中山區,龍洲里,73,4.04%
臺北市,中山區,朱園里,229,10.31%
臺北市,中山區,埤頭里,120,7.37%
臺北市,中山區,朱崙里,109,7.94%
臺北市,中山區,力行里,210,7.88%
臺北市,中山區,復華里,153,7.31%
臺北市,中山區,金泰里,227,6.59%
臺北市,中山區,北安里,70,7.42%
臺北市,中正區,水源里,100,7.79%
臺北市,中正區,富水里,39,5.87%
臺北市,中正區,文盛里,64,6.77%
臺北市,中正區,林興里,184,10.23%
臺北市,中正區,河堤里,112,6.19%
臺北市,中正區,頂東里,255,9.19%
