縣市,鄉鎮市區,113H1宅數,113H1比率(%)
臺北市,全區,61548,6.77
臺北市,松山區,3561,5.41
臺北市,信義區,4014,5.24
臺北市,大安區,6080,6.21
臺北市,中山區,6779,7.03
臺北市,中正區,4925,9.38
臺北市,大同區,4113,8.87
臺北市,萬華區,6472,9.21
臺北市,文山區,5663,6.03
臺北市,南港區,2475,6.17
臺北市,內湖區,4171,4.50
臺北市,士林區,6308,6.83
臺北市,北投區,6987,8.31
