縣市,鄉鎮市區,106宅數,106比率(%)
新北市,全區,120356,7.64
新北市,板橋區,11514,5.66
新北市,三重區,9702,6.26
新北市,中和區,8467,5.06
新北市,永和區,4352,4.88
新北市,新莊區,9623,6.52
新北市,新店區,8834,6.85
新北市,樹林區,3568,5.57
新北市,鶯歌區,2852,9.55
新北市,三峽區,4454,9.78
新北市,淡水區,15429,15.23
新北市,汐止區,7288,7.54
新北市,瑞芳區,2924,16.85
新北市,土城區,3814,4.55
新北市,蘆洲區,4111,5.90
新北市,五股區,3598,11.29
新北市,泰山區,1300,4.60
新北市,林口區,5724,12.83
新北市,深坑區,671,6.53
新北市,石碇區,245,16.75
新北市,坪林區,146,17.69
新北市,三芝區,3543,26.22
新北市,石門區,596,19.92
新北市,八里區,1949,12.52
新北市,平溪區,377,20.37
新北市,雙溪區,582,18.41
新北市,貢寮區,524,15.50
新北市,金山區,1320,17.15
新北市,萬里區,2681,30.98
新北市,烏來區,168,18.63
