縣市,鄉鎮市區,111H2宅數,111H2比率(%)
新北市,全區,120736,7.18
新北市,板橋區,13084,6.01
新北市,三重區,10513,6.46
新北市,中和區,9333,5.35
新北市,永和區,5175,5.66
新北市,新莊區,8325,5.28
新北市,新店區,9499,6.94
新北市,樹林區,3635,5.55
新北市,鶯歌區,2829,8.26
新北市,三峽區,3859,8.07
新北市,淡水區,14337,12.41
新北市,汐止區,6748,6.61
新北市,瑞芳區,2853,16.43
新北市,土城區,5312,5.89
新北市,蘆洲區,3017,4.21
新北市,五股區,2364,6.57
新北市,泰山區,1553,5.33
新北市,林口區,4609,8.23
新北市,深坑區,703,6.67
新北市,石碇區,303,16.81
新北市,坪林區,215,17.39
新北市,三芝區,3542,26.05
新北市,石門區,618,20.52
新北市,八里區,2353,12.97
新北市,平溪區,418,22.04
新北市,雙溪區,630,19.67
新北市,貢寮區,525,15.42
新北市,金山區,1525,19.17
新北市,萬里區,2643,30.47
新北市,烏來區,216,20.16
