縣市,鄉鎮市區,100宅數,100比率(%)
新北市,全區,113979,7.71
新北市,板橋區,11672,5.92
新北市,三重區,9884,6.70
新北市,中和區,8535,5.33
新北市,永和區,4540,5.20
新北市,新莊區,7967,5.93
新北市,新店區,8113,6.74
新北市,樹林區,5117,8.22
新北市,鶯歌區,2802,9.74
新北市,三峽區,5073,12.20
新北市,淡水區,11973,14.11
新北市,汐止區,7775,8.38
新北市,瑞芳區,2799,16.24
新北市,土城區,4287,5.22
新北市,蘆洲區,3007,4.60
新北市,五股區,1749,6.51
新北市,泰山區,1286,4.84
新北市,林口區,4517,12.85
新北市,深坑區,842,8.52
新北市,石碇區,196,15.66
新北市,坪林區,81,14.04
新北市,三芝區,3934,29.19
新北市,石門區,505,17.04
新北市,八里區,2135,14.46
新北市,平溪區,383,21.23
新北市,雙溪區,515,16.61
新北市,貢寮區,292,8.83
新北市,金山區,1238,16.64
新北市,萬里區,2654,30.27
新北市,烏來區,108,14.27
