縣市,鄉鎮市區,112H1宅數,112H1比率(%)
新北市,全區,130786,7.75
新北市,板橋區,14280,6.54
新北市,三重區,11061,6.75
新北市,中和區,9758,5.59
新北市,永和區,6025,6.59
新北市,新莊區,9266,5.83
新北市,新店區,10473,7.64
新北市,樹林區,4102,6.25
新北市,鶯歌區,3031,8.84
新北市,三峽區,4340,9.06
新北市,淡水區,15589,13.42
新北市,汐止區,7670,7.46
新北市,瑞芳區,2999,17.28
新北市,土城區,5706,6.29
新北市,蘆洲區,3472,4.84
新北市,五股區,2187,6.06
新北市,泰山區,1721,5.86
新北市,林口區,4851,8.56
新北市,深坑區,773,7.33
新北市,石碇區,322,17.70
新北市,坪林區,240,19.34
新北市,三芝區,3573,26.28
新北市,石門區,626,20.79
新北市,八里區,2479,13.38
新北市,平溪區,425,22.38
新北市,雙溪區,635,19.81
新北市,貢寮區,605,17.77
新北市,金山區,1608,20.21
新北市,萬里區,2746,31.67
新北市,烏來區,223,20.71
