縣市,鄉鎮市區,110H2宅數,110H2比率(%)
新北市,全區,118165,7.10
新北市,板橋區,10847,5.04
新北市,三重區,9743,6.07
新北市,中和區,8270,4.79
新北市,永和區,4733,5.20
新北市,新莊區,8814,5.63
新北市,新店區,8534,6.32
新北市,樹林區,3654,5.59
新北市,鶯歌區,3101,9.17
新北市,三峽區,4022,8.44
新北市,淡水區,16553,14.37
新北市,汐止區,7208,7.10
新北市,瑞芳區,2850,16.41
新北市,土城區,4174,4.72
新北市,蘆洲區,2944,4.12
新北市,五股區,2448,6.91
新北市,泰山區,1309,4.54
新北市,林口區,5383,9.80
新北市,深坑區,683,6.47
新北市,石碇區,277,15.61
新北市,坪林區,187,15.48
新北市,三芝區,3541,26.06
新北市,石門區,599,19.91
新北市,八里區,2353,13.47
新北市,平溪區,396,20.98
新北市,雙溪區,616,19.21
新北市,貢寮區,516,15.19
新北市,金山區,1574,19.78
新北市,萬里區,2649,30.56
新北市,烏來區,187,17.86
