縣市,鄉鎮市區,099宅數,099比率(%)
新北市,全區,123945,8.52
新北市,板橋區,10604,5.49
新北市,三重區,11109,7.62
新北市,中和區,8417,5.33
新北市,永和區,5281,6.12
新北市,新莊區,7920,5.98
新北市,新店區,9407,7.93
新北市,樹林區,6470,10.63
新北市,鶯歌區,3101,10.88
新北市,三峽區,5780,14.07
新北市,淡水區,13607,16.63
新北市,汐止區,8708,9.50
新北市,瑞芳區,2915,16.96
新北市,土城區,4748,5.83
新北市,蘆洲區,3711,5.70
新北市,五股區,2010,7.59
新北市,泰山區,1423,5.38
新北市,林口區,5252,15.52
新北市,深坑區,815,8.81
新北市,石碇區,204,17.14
新北市,坪林區,62,12.31
新北市,三芝區,4133,30.74
新北市,石門區,519,17.60
新北市,八里區,2362,16.32
新北市,平溪區,379,21.18
新北市,雙溪區,530,17.14
新北市,貢寮區,271,8.25
新北市,金山區,1258,16.97
新北市,萬里區,2845,32.62
新北市,烏來區,104,14.60
