縣市,鄉鎮市區,104宅數,104比率(%)
新北市,全區,118651,7.71
新北市,板橋區,11182,5.57
新北市,三重區,10469,6.88
新北市,中和區,7967,4.86
新北市,永和區,4612,5.22
新北市,新莊區,9325,6.52
新北市,新店區,8824,7.00
新北市,樹林區,4034,6.37
新北市,鶯歌區,2722,9.27
新北市,三峽區,4845,10.88
新北市,淡水區,13418,14.04
新北市,汐止區,7262,7.65
新北市,瑞芳區,2866,16.62
新北市,土城區,4350,5.25
新北市,蘆洲區,3365,4.99
新北市,五股區,2733,9.32
新北市,泰山區,1389,5.01
新北市,林口區,5881,13.91
新北市,深坑區,834,8.15
新北市,石碇區,244,17.53
新北市,坪林區,120,15.84
新北市,三芝區,3737,27.71
新北市,石門區,584,19.63
新北市,八里區,2155,13.93
新北市,平溪區,386,20.96
新北市,雙溪區,611,19.49
新北市,貢寮區,512,15.18
新北市,金山區,1283,17.08
新北市,萬里區,2764,31.65
新北市,烏來區,177,20.79
