縣市,鄉鎮市區,109H1宅數,109H1比率(%)
新北市,全區,130969,8.00
新北市,板橋區,11982,5.68
新北市,三重區,9748,6.18
新北市,中和區,9160,5.37
新北市,永和區,5379,5.92
新北市,新莊區,9491,6.19
新北市,新店區,9646,7.29
新北市,樹林區,3774,5.83
新北市,鶯歌區,3102,9.62
新北市,三峽區,4256,9.06
新北市,淡水區,20669,18.16
新北市,汐止區,7716,7.70
新北市,瑞芳區,2835,16.34
新北市,土城區,5199,6.02
新北市,蘆洲區,3678,5.18
新北市,五股區,2706,7.96
新北市,泰山區,1491,5.20
新北市,林口區,6754,12.76
新北市,深坑區,821,7.78
新北市,石碇區,269,15.58
新北市,坪林區,202,16.77
新北市,三芝區,3545,26.11
新北市,石門區,589,19.66
新北市,八里區,1884,11.58
新北市,平溪區,370,19.85
新北市,雙溪區,623,19.52
新北市,貢寮區,561,16.54
新北市,金山區,1674,21.17
新北市,萬里區,2679,30.97
新北市,烏來區,166,17.28
