縣市,鄉鎮市區,112H2宅數,112H2比率(%)
新北市,全區,124649,7.00
新北市,板橋區,12330,5.00
新北市,三重區,11285,6.00
新北市,中和區,9470,5.00
新北市,永和區,5317,5.00
新北市,新莊區,8986,5.00
新北市,新店區,10206,7.00
新北市,樹林區,3675,5.00
新北市,鶯歌區,3078,8.00
新北市,三峽區,3804,7.00
新北市,淡水區,15728,13.00
新北市,汐止區,6744,6.00
新北市,瑞芳區,2987,17.00
新北市,土城區,5068,5.00
新北市,蘆洲區,3022,4.00
新北市,五股區,2966,8.00
新北市,泰山區,1706,5.00
新北市,林口區,4428,7.00
新北市,深坑區,687,6.00
新北市,石碇區,328,17.00
新北市,坪林區,231,18.00
新北市,三芝區,3611,26.00
新北市,石門區,699,23.00
新北市,八里區,2224,11.00
新北市,平溪區,430,22.00
新北市,雙溪區,647,20.00
新北市,貢寮區,571,16.00
新北市,金山區,1508,18.00
新北市,萬里區,2695,31.00
新北市,烏來區,218,20.00
