縣市,鄉鎮市區,103宅數,103比率(%)
新北市,全區,118905,7.80
新北市,板橋區,10248,5.13
新北市,三重區,9896,6.56
新北市,中和區,8605,5.26
新北市,永和區,4602,5.22
新北市,新莊區,9731,6.91
新北市,新店區,9741,7.76
新北市,樹林區,4223,6.69
新北市,鶯歌區,2614,8.96
新北市,三峽區,4891,11.16
新北市,淡水區,12875,13.94
新北市,汐止區,7541,7.98
新北市,瑞芳區,2951,17.08
新北市,土城區,4381,5.29
新北市,蘆洲區,3543,5.30
新北市,五股區,2233,7.92
新北市,泰山區,1604,5.84
新北市,林口區,5927,14.70
新北市,深坑區,740,7.38
新北市,石碇區,224,16.61
新北市,坪林區,106,14.74
新北市,三芝區,3873,28.74
新北市,石門區,597,20.07
新北市,八里區,2119,13.89
新北市,平溪區,355,19.44
新北市,雙溪區,602,19.30
新北市,貢寮區,460,13.71
新北市,金山區,1253,16.70
新北市,萬里區,2842,32.49
新北市,烏來區,128,15.34
