縣市,鄉鎮市區,110H1宅數,110H1比率(%)
彰化縣,全區,39353,9.66
彰化縣,彰化市,7407,9.20
彰化縣,鹿港鎮,2661,9.80
彰化縣,和美鎮,2618,8.79
彰化縣,北斗鎮,1162,9.66
彰化縣,員林市,4028,9.70
彰化縣,員林鎮,0,0.00
彰化縣,溪湖鎮,1586,9.27
彰化縣,田中鎮,1503,10.99
彰化縣,二林鎮,1651,10.16
彰化縣,線西鄉,608,12.93
彰化縣,伸港鄉,1057,9.48
彰化縣,福興鄉,1292,9.39
彰化縣,秀水鄉,1119,9.12
彰化縣,花壇鄉,1184,8.10
彰化縣,芬園鄉,735,10.65
彰化縣,大村鄉,617,5.99
彰化縣,埔鹽鄉,939,10.49
彰化縣,埔心鄉,941,8.80
彰化縣,永靖鄉,858,8.43
彰化縣,社頭鄉,1053,8.79
彰化縣,二水鄉,630,12.17
彰化縣,田尾鄉,1082,12.01
彰化縣,埤頭鄉,1267,12.07
彰化縣,芳苑鄉,1174,11.02
彰化縣,大城鄉,538,12.12
彰化縣,竹塘鄉,645,12.95
彰化縣,溪州鄉,998,11.07
