縣市,鄉鎮市區,111H1宅數,111H1比率(%)
彰化縣,全區,42344,10.29
彰化縣,彰化市,7808,9.65
彰化縣,鹿港鎮,2868,10.47
彰化縣,和美鎮,2814,9.37
彰化縣,北斗鎮,1332,10.91
彰化縣,員林市,4235,10.06
彰化縣,員林鎮,0,0.00
彰化縣,溪湖鎮,1760,10.18
彰化縣,田中鎮,1669,12.07
彰化縣,二林鎮,1756,10.70
彰化縣,線西鄉,594,12.47
彰化縣,伸港鄉,1237,10.74
彰化縣,福興鄉,1365,9.81
彰化縣,秀水鄉,1181,9.56
彰化縣,花壇鄉,1220,8.30
彰化縣,芬園鄉,829,11.91
彰化縣,大村鄉,823,7.76
彰化縣,埔鹽鄉,1033,11.43
彰化縣,埔心鄉,1116,10.15
彰化縣,永靖鄉,890,8.69
彰化縣,社頭鄉,1074,8.86
彰化縣,二水鄉,715,13.77
彰化縣,田尾鄉,1041,11.48
彰化縣,埤頭鄉,1333,12.60
彰化縣,芳苑鄉,1292,12.10
彰化縣,大城鄉,567,12.67
彰化縣,竹塘鄉,704,14.06
彰化縣,溪州鄉,1088,11.89
