縣市,鄉鎮市區,113H1宅數,113H1比率(%)
彰化縣,全區,43046,10.24
彰化縣,彰化市,8296,10.09
彰化縣,鹿港鎮,2832,10.16
彰化縣,和美鎮,3284,10.59
彰化縣,北斗鎮,1336,10.61
彰化縣,員林市,4328,9.98
彰化縣,溪湖鎮,1801,10.07
彰化縣,田中鎮,1531,10.95
彰化縣,二林鎮,1735,10.22
彰化縣,線西鄉,585,11.90
彰化縣,伸港鄉,1165,9.79
彰化縣,福興鄉,1361,9.59
彰化縣,秀水鄉,1218,9.57
彰化縣,花壇鄉,1246,8.38
彰化縣,芬園鄉,856,12.14
彰化縣,大村鄉,797,7.29
彰化縣,埔鹽鄉,926,9.98
彰化縣,埔心鄉,1023,9.08
彰化縣,永靖鄉,902,8.65
彰化縣,社頭鄉,999,8.08
彰化縣,二水鄉,774,14.86
彰化縣,田尾鄉,1030,11.19
彰化縣,埤頭鄉,1327,12.28
彰化縣,芳苑鄉,1311,12.18
彰化縣,大城鄉,611,13.59
彰化縣,竹塘鄉,735,14.46
彰化縣,溪州鄉,1037,11.29
