縣市,鄉鎮市區,112H1宅數,112H1比率(%)
彰化縣,全區,42420,10.21
彰化縣,彰化市,8244,10.13
彰化縣,鹿港鎮,2812,10.18
彰化縣,和美鎮,2783,9.21
彰化縣,北斗鎮,1260,10.22
彰化縣,員林市,4178,9.82
彰化縣,溪湖鎮,1958,11.04
彰化縣,田中鎮,1564,11.24
彰化縣,二林鎮,1701,10.23
彰化縣,線西鄉,585,12.16
彰化縣,伸港鄉,1152,9.85
彰化縣,福興鄉,1310,9.33
彰化縣,秀水鄉,1245,9.91
彰化縣,花壇鄉,1205,8.17
彰化縣,芬園鄉,821,11.76
彰化縣,大村鄉,781,7.25
彰化縣,埔鹽鄉,999,10.90
彰化縣,埔心鄉,1017,9.15
彰化縣,永靖鄉,892,8.62
彰化縣,社頭鄉,1025,8.36
彰化縣,二水鄉,736,14.15
彰化縣,田尾鄉,998,10.95
彰化縣,埤頭鄉,1353,12.65
彰化縣,芳苑鄉,1356,12.62
彰化縣,大城鄉,615,13.72
彰化縣,竹塘鄉,756,14.98
彰化縣,溪州鄉,1074,11.71
