縣市,鄉鎮市區,109H1宅數,109H1比率(%)
彰化縣,全區,39404,9.76
彰化縣,彰化市,7233,9.03
彰化縣,鹿港鎮,2692,10.02
彰化縣,和美鎮,2690,9.06
彰化縣,北斗鎮,1176,9.84
彰化縣,員林市,4157,10.12
彰化縣,溪湖鎮,1609,9.55
彰化縣,田中鎮,1505,11.08
彰化縣,二林鎮,1582,9.86
彰化縣,線西鄉,556,11.97
彰化縣,伸港鄉,1099,9.96
彰化縣,福興鄉,1313,9.58
彰化縣,秀水鄉,1195,9.82
彰化縣,花壇鄉,1230,8.47
彰化縣,芬園鄉,691,10.07
彰化縣,大村鄉,669,6.56
彰化縣,埔鹽鄉,1002,11.37
彰化縣,埔心鄉,926,8.79
彰化縣,永靖鄉,824,8.19
彰化縣,社頭鄉,944,8.03
彰化縣,二水鄉,665,12.89
彰化縣,田尾鄉,1023,11.54
彰化縣,埤頭鄉,1268,12.20
彰化縣,芳苑鄉,1255,11.82
彰化縣,大城鄉,519,11.72
彰化縣,竹塘鄉,632,12.71
彰化縣,溪州鄉,949,10.62
