縣市,鄉鎮市區,105宅數,105比率(%)
彰化縣,全區,38865,9.96
彰化縣,彰化市,7598,9.65
彰化縣,鹿港鎮,2692,10.30
彰化縣,和美鎮,2700,9.35
彰化縣,北斗鎮,1212,10.57
彰化縣,員林市,3680,9.60
彰化縣,溪湖鎮,1625,9.98
彰化縣,田中鎮,1446,11.01
彰化縣,二林鎮,1551,9.95
彰化縣,線西鄉,545,12.16
彰化縣,伸港鄉,1193,11.49
彰化縣,福興鄉,1305,9.95
彰化縣,秀水鄉,1227,10.55
彰化縣,花壇鄉,1278,9.04
彰化縣,芬園鄉,695,10.29
彰化縣,大村鄉,627,6.46
彰化縣,埔鹽鄉,777,9.22
彰化縣,埔心鄉,1068,10.82
彰化縣,永靖鄉,816,8.39
彰化縣,社頭鄉,948,8.38
彰化縣,二水鄉,564,11.16
彰化縣,田尾鄉,878,10.36
彰化縣,埤頭鄉,1234,12.30
彰化縣,芳苑鄉,1187,11.27
彰化縣,大城鄉,508,11.68
彰化縣,竹塘鄉,651,13.24
彰化縣,溪州鄉,860,9.89
