縣市,鄉鎮市區,101宅數,101比率(%)
彰化縣,全區,40532,10.70
彰化縣,彰化市,7916,10.26
彰化縣,鹿港鎮,2840,11.28
彰化縣,和美鎮,2882,10.36
彰化縣,北斗鎮,1226,11.04
彰化縣,員林市,3886,10.50
彰化縣,溪湖鎮,1680,10.75
彰化縣,田中鎮,1566,12.25
彰化縣,二林鎮,1617,10.67
彰化縣,線西鄉,565,12.92
彰化縣,伸港鄉,1131,11.58
彰化縣,福興鄉,1382,10.74
彰化縣,秀水鄉,1256,11.12
彰化縣,花壇鄉,1353,9.95
彰化縣,芬園鄉,776,11.69
彰化縣,大村鄉,684,7.36
彰化縣,埔鹽鄉,765,9.30
彰化縣,埔心鄉,1016,10.82
彰化縣,永靖鄉,925,9.74
彰化縣,社頭鄉,985,8.93
彰化縣,二水鄉,584,11.80
彰化縣,田尾鄉,959,11.44
彰化縣,埤頭鄉,1231,12.66
彰化縣,芳苑鄉,1239,11.85
彰化縣,大城鄉,503,11.61
彰化縣,竹塘鄉,680,13.91
彰化縣,溪州鄉,885,10.50
