縣市,鄉鎮市區,111H2宅數,111H2比率(%)
彰化縣,全區,39799,9.62
彰化縣,彰化市,7403,9.10
彰化縣,鹿港鎮,2715,9.87
彰化縣,和美鎮,2590,8.60
彰化縣,北斗鎮,1312,10.67
彰化縣,員林市,3817,9.02
彰化縣,溪湖鎮,1701,9.69
彰化縣,田中鎮,1489,10.74
彰化縣,二林鎮,1582,9.58
彰化縣,線西鄉,544,11.39
彰化縣,伸港鄉,1123,9.67
彰化縣,福興鄉,1374,9.79
彰化縣,秀水鄉,1139,9.17
彰化縣,花壇鄉,1209,8.20
彰化縣,芬園鄉,761,10.90
彰化縣,大村鄉,790,7.42
彰化縣,埔鹽鄉,872,9.59
彰化縣,埔心鄉,1008,9.12
彰化縣,永靖鄉,826,8.03
彰化縣,社頭鄉,1003,8.24
彰化縣,二水鄉,659,12.68
彰化縣,田尾鄉,910,10.02
彰化縣,埤頭鄉,1323,12.45
彰化縣,芳苑鄉,1292,12.05
彰化縣,大城鄉,570,12.74
彰化縣,竹塘鄉,754,14.97
彰化縣,溪州鄉,1033,11.30
