縣市,鄉鎮市區,109H2宅數,109H2比率(%)
彰化縣,全區,39351,9.70
彰化縣,彰化市,7313,9.12
彰化縣,鹿港鎮,2676,9.90
彰化縣,和美鎮,2596,8.73
彰化縣,北斗鎮,1162,9.67
彰化縣,員林市,3898,9.43
彰化縣,溪湖鎮,1632,9.64
彰化縣,田中鎮,1466,10.75
彰化縣,二林鎮,1585,9.81
彰化縣,線西鄉,550,11.79
彰化縣,伸港鄉,1060,9.58
彰化縣,福興鄉,1333,9.69
彰化縣,秀水鄉,1226,10.01
彰化縣,花壇鄉,1231,8.43
彰化縣,芬園鄉,709,10.29
彰化縣,大村鄉,663,6.47
彰化縣,埔鹽鄉,859,9.65
彰化縣,埔心鄉,965,9.10
彰化縣,永靖鄉,885,8.75
彰化縣,社頭鄉,983,8.25
彰化縣,二水鄉,605,11.70
彰化縣,田尾鄉,1006,11.26
彰化縣,埤頭鄉,1398,13.37
彰化縣,芳苑鄉,1267,11.90
彰化縣,大城鄉,562,12.69
彰化縣,竹塘鄉,706,14.18
彰化縣,溪州鄉,1015,11.29
