縣市,鄉鎮市區,104宅數,104比率(%)
彰化縣,全區,39738,10.28
彰化縣,彰化市,7872,10.07
彰化縣,鹿港鎮,2806,10.84
彰化縣,和美鎮,2927,10.23
彰化縣,北斗鎮,1174,10.36
彰化縣,員林市,3644,9.62
彰化縣,溪湖鎮,1693,10.53
彰化縣,田中鎮,1526,11.66
彰化縣,二林鎮,1531,9.93
彰化縣,線西鄉,544,12.35
彰化縣,伸港鄉,1183,11.63
彰化縣,福興鄉,1315,10.10
彰化縣,秀水鄉,1236,10.72
彰化縣,花壇鄉,1378,9.94
彰化縣,芬園鄉,698,10.43
彰化縣,大村鄉,648,6.79
彰化縣,埔鹽鄉,745,8.89
彰化縣,埔心鄉,1039,10.75
彰化縣,永靖鄉,888,9.19
彰化縣,社頭鄉,964,8.59
彰化縣,二水鄉,596,11.89
彰化縣,田尾鄉,915,10.82
彰化縣,埤頭鄉,1224,12.31
彰化縣,芳苑鄉,1141,10.87
彰化縣,大城鄉,515,11.86
彰化縣,竹塘鄉,657,13.41
彰化縣,溪州鄉,879,10.16
