縣市,鄉鎮市區,099宅數,099比率(%)
彰化縣,全區,41383,11.11
彰化縣,彰化市,8339,10.99
彰化縣,鹿港鎮,2960,12.02
彰化縣,和美鎮,2991,11.10
彰化縣,北斗鎮,1167,10.64
彰化縣,員林市,3847,10.57
彰化縣,溪湖鎮,1716,11.28
彰化縣,田中鎮,1605,12.72
彰化縣,二林鎮,1674,11.17
彰化縣,線西鄉,608,13.70
彰化縣,伸港鄉,1144,11.97
彰化縣,福興鄉,1417,11.14
彰化縣,秀水鄉,1271,11.49
彰化縣,花壇鄉,1379,10.33
彰化縣,芬園鄉,784,11.98
彰化縣,大村鄉,694,7.73
彰化縣,埔鹽鄉,770,9.50
彰化縣,埔心鄉,1013,11.02
彰化縣,永靖鄉,895,9.57
彰化縣,社頭鄉,1027,9.42
彰化縣,二水鄉,566,11.54
彰化縣,田尾鄉,965,11.66
彰化縣,埤頭鄉,1290,13.54
彰化縣,芳苑鄉,1265,12.17
彰化縣,大城鄉,480,11.23
彰化縣,竹塘鄉,661,13.66
彰化縣,溪州鄉,855,10.32
