縣市,鄉鎮市區,107宅數,107比率(%)
彰化縣,全區,40999,10.29
彰化縣,彰化市,7957,9.99
彰化縣,鹿港鎮,2815,10.56
彰化縣,和美鎮,2816,9.58
彰化縣,北斗鎮,1226,10.42
彰化縣,員林市,4451,11.11
彰化縣,溪湖鎮,1670,10.04
彰化縣,田中鎮,1494,11.15
彰化縣,二林鎮,1542,9.72
彰化縣,線西鄉,525,11.50
彰化縣,伸港鄉,1218,11.35
彰化縣,福興鄉,1382,10.28
彰化縣,秀水鄉,1249,10.43
彰化縣,花壇鄉,1310,9.13
彰化縣,芬園鄉,746,10.94
彰化縣,大村鄉,671,6.72
彰化縣,埔鹽鄉,822,9.52
彰化縣,埔心鄉,1127,10.87
彰化縣,永靖鄉,867,8.76
彰化縣,社頭鄉,1002,8.65
彰化縣,二水鄉,612,11.95
彰化縣,田尾鄉,947,10.88
彰化縣,埤頭鄉,1248,12.17
彰化縣,芳苑鄉,1162,10.98
彰化縣,大城鄉,518,11.82
彰化縣,竹塘鄉,671,13.56
彰化縣,溪州鄉,951,10.80
