縣市,鄉鎮市區,102宅數,102比率(%)
彰化縣,全區,40209,10.58
彰化縣,彰化市,7871,10.19
彰化縣,鹿港鎮,2868,11.35
彰化縣,和美鎮,2897,10.40
彰化縣,北斗鎮,1113,10.04
彰化縣,員林市,3816,10.23
彰化縣,溪湖鎮,1642,10.44
彰化縣,田中鎮,1495,11.64
彰化縣,二林鎮,1628,10.71
彰化縣,線西鄉,588,13.43
彰化縣,伸港鄉,1117,11.38
彰化縣,福興鄉,1363,10.58
彰化縣,秀水鄉,1236,10.93
彰化縣,花壇鄉,1406,10.28
彰化縣,芬園鄉,727,10.96
彰化縣,大村鄉,635,6.82
彰化縣,埔鹽鄉,773,9.37
彰化縣,埔心鄉,1037,11.00
彰化縣,永靖鄉,899,9.42
彰化縣,社頭鄉,982,8.88
彰化縣,二水鄉,572,11.54
彰化縣,田尾鄉,917,10.98
彰化縣,埤頭鄉,1264,12.93
彰化縣,芳苑鄉,1238,11.83
彰化縣,大城鄉,512,11.81
彰化縣,竹塘鄉,698,14.31
彰化縣,溪州鄉,915,10.80
