縣市,鄉鎮市區,100宅數,100比率(%)
彰化縣,全區,38861,10.33
彰化縣,彰化市,7718,10.06
彰化縣,鹿港鎮,2772,11.09
彰化縣,和美鎮,2825,10.26
彰化縣,北斗鎮,1135,10.25
彰化縣,員林市,3669,10.02
彰化縣,溪湖鎮,1585,10.26
彰化縣,田中鎮,1492,11.75
彰化縣,二林鎮,1575,10.40
彰化縣,線西鄉,555,12.65
彰化縣,伸港鄉,1078,11.14
彰化縣,福興鄉,1279,9.99
彰化縣,秀水鄉,1217,10.87
彰化縣,花壇鄉,1314,9.73
彰化縣,芬園鄉,751,11.36
彰化縣,大村鄉,630,6.92
彰化縣,埔鹽鄉,712,8.70
彰化縣,埔心鄉,949,10.20
彰化縣,永靖鄉,874,9.29
彰化縣,社頭鄉,987,9.00
彰化縣,二水鄉,541,10.95
彰化縣,田尾鄉,913,10.97
彰化縣,埤頭鄉,1167,12.14
彰化縣,芳苑鄉,1195,11.44
彰化縣,大城鄉,462,10.75
彰化縣,竹塘鄉,642,13.15
彰化縣,溪州鄉,824,9.86
