縣市,鄉鎮市區,108宅數,108比率(%)
彰化縣,全區,39148,9.74
彰化縣,彰化市,7176,8.97
彰化縣,鹿港鎮,2644,9.87
彰化縣,和美鎮,2605,8.81
彰化縣,北斗鎮,1192,10.01
彰化縣,員林市,4174,10.20
彰化縣,溪湖鎮,1637,9.74
彰化縣,田中鎮,1471,10.90
彰化縣,二林鎮,1479,9.25
彰化縣,線西鄉,527,11.44
彰化縣,伸港鄉,1099,10.04
彰化縣,福興鄉,1339,9.85
彰化縣,秀水鄉,1248,10.29
彰化縣,花壇鄉,1250,8.63
彰化縣,芬園鄉,683,9.97
彰化縣,大村鄉,663,6.56
彰化縣,埔鹽鄉,828,9.46
彰化縣,埔心鄉,938,8.99
彰化縣,永靖鄉,858,8.60
彰化縣,社頭鄉,979,8.39
彰化縣,二水鄉,657,12.74
彰化縣,田尾鄉,916,10.40
彰化縣,埤頭鄉,1380,13.36
彰化縣,芳苑鄉,1256,11.84
彰化縣,大城鄉,527,11.97
彰化縣,竹塘鄉,686,13.80
彰化縣,溪州鄉,936,10.56
