縣市,鄉鎮市區,112H2宅數,112H2比率(%)
彰化縣,全區,43567,10.00
彰化縣,彰化市,8166,10.00
彰化縣,鹿港鎮,2935,10.00
彰化縣,和美鎮,2864,9.00
彰化縣,北斗鎮,1288,10.00
彰化縣,員林市,4304,9.00
彰化縣,溪湖鎮,1918,10.00
彰化縣,田中鎮,1553,11.00
彰化縣,二林鎮,1763,10.00
彰化縣,線西鄉,594,12.00
彰化縣,伸港鄉,1189,10.00
彰化縣,福興鄉,1414,10.00
彰化縣,秀水鄉,1281,10.00
彰化縣,花壇鄉,1370,9.00
彰化縣,芬園鄉,820,11.00
彰化縣,大村鄉,937,8.00
彰化縣,埔鹽鄉,1014,10.00
彰化縣,埔心鄉,1013,9.00
彰化縣,永靖鄉,997,9.00
彰化縣,社頭鄉,1227,9.00
彰化縣,二水鄉,710,13.00
彰化縣,田尾鄉,975,10.00
彰化縣,埤頭鄉,1429,13.00
彰化縣,芳苑鄉,1335,12.00
彰化縣,大城鄉,626,13.00
彰化縣,竹塘鄉,797,15.00
彰化縣,溪州鄉,1048,11.00
