縣市,鄉鎮市區,110H2宅數,110H2比率(%)
彰化縣,全區,38543,9.41
彰化縣,彰化市,7108,8.80
彰化縣,鹿港鎮,2661,9.76
彰化縣,和美鎮,2567,8.57
彰化縣,北斗鎮,1199,9.88
彰化縣,員林市,3708,8.88
彰化縣,員林鎮,0,0.00
彰化縣,溪湖鎮,1624,9.42
彰化縣,田中鎮,1430,10.39
彰化縣,二林鎮,1566,9.58
彰化縣,線西鄉,520,10.98
彰化縣,伸港鄉,1016,8.96
彰化縣,福興鄉,1309,9.46
彰化縣,秀水鄉,1149,9.34
彰化縣,花壇鄉,1173,8.00
彰化縣,芬園鄉,708,10.19
彰化縣,大村鄉,717,6.86
彰化縣,埔鹽鄉,869,9.68
彰化縣,埔心鄉,1026,9.38
彰化縣,永靖鄉,858,8.39
彰化縣,社頭鄉,984,8.20
彰化縣,二水鄉,624,12.01
彰化縣,田尾鄉,942,10.44
彰化縣,埤頭鄉,1320,12.53
彰化縣,芳苑鄉,1236,11.59
彰化縣,大城鄉,565,12.68
彰化縣,竹塘鄉,662,13.30
彰化縣,溪州鄉,1002,11.06
