縣市,鄉鎮市區,098宅數,098比率(%)
彰化縣,全區,41499,11.37
彰化縣,彰化市,8507,11.35
彰化縣,鹿港鎮,2955,12.24
彰化縣,和美鎮,2932,11.04
彰化縣,北斗鎮,1215,11.34
彰化縣,員林市,4141,11.55
彰化縣,溪湖鎮,1717,11.49
彰化縣,田中鎮,1579,12.74
彰化縣,二林鎮,1617,11.00
彰化縣,線西鄉,608,13.81
彰化縣,伸港鄉,1153,12.23
彰化縣,福興鄉,1451,11.61
彰化縣,秀水鄉,1222,11.40
彰化縣,花壇鄉,1439,10.99
彰化縣,芬園鄉,751,12.00
彰化縣,大村鄉,701,7.92
彰化縣,埔鹽鄉,768,9.59
彰化縣,埔心鄉,976,10.94
彰化縣,永靖鄉,897,9.83
彰化縣,社頭鄉,1022,9.53
彰化縣,二水鄉,522,11.21
彰化縣,田尾鄉,869,11.13
彰化縣,埤頭鄉,1271,13.66
彰化縣,芳苑鄉,1260,12.45
彰化縣,大城鄉,472,11.47
彰化縣,竹塘鄉,652,13.81
彰化縣,溪州鄉,802,10.05
