縣市,鄉鎮市區,村里,103年宅數,103年比例
彰化縣,彰化市,文化里,72,12.04%
彰化縣,彰化市,下?里,194,10.28%
彰化縣,彰化市,興北里,124,15.63%
彰化縣,彰化市,信義里,76,17.59%
彰化縣,彰化市,民生里,97,14.76%
彰化縣,彰化市,陽明里,109,14.74%
彰化縣,彰化市,萬安里,131,8.84%
彰化縣,彰化市,新興里,157,7.54%
彰化縣,彰化市,新華里,92,13.14%
彰化縣,彰化市,龍山里,90,9.23%
彰化縣,彰化市,中山里,45,12.26%
彰化縣,彰化市,中正里,106,14.69%
彰化縣,彰化市,永福里,62,15.06%
彰化縣,彰化市,光復里,58,18.58%
彰化縣,彰化市,光華里,66,17.29%
彰化縣,彰化市,萬壽里,94,19.84%
彰化縣,彰化市,中央里,72,19.38%
彰化縣,彰化市,富貴里,61,15.87%
彰化縣,彰化市,民權里,59,11.50%
彰化縣,彰化市,西興里,165,11.69%
彰化縣,彰化市,西勢里,207,12.92%
彰化縣,彰化市,忠孝里,58,11.86%
彰化縣,彰化市,忠權里,149,11.20%
彰化縣,彰化市,五權里,179,9.80%
彰化縣,彰化市,長樂里,77,16.02%
彰化縣,彰化市,東芳里,120,10.08%
彰化縣,彰化市,南安里,67,10.21%
彰化縣,彰化市,南美里,67,12.43%
彰化縣,彰化市,莿桐里,173,13.36%
彰化縣,彰化市,磚?里,98,9.28%
彰化縣,彰化市,平和里,167,9.70%
彰化縣,彰化市,桃源里,96,11.66%
彰化縣,彰化市,卦山里,118,9.92%
彰化縣,彰化市,東興里,89,11.27%
彰化縣,彰化市,大同里,89,15.51%
彰化縣,彰化市,永生里,76,12.84%
彰化縣,彰化市,華陽里,120,14.37%
彰化縣,彰化市,華北里,98,12.08%
彰化縣,彰化市,南?里,296,9.27%
彰化縣,彰化市,成功里,82,12.26%
彰化縣,彰化市,延和里,163,9.10%
彰化縣,彰化市,南興里,238,8.34%
彰化縣,彰化市,西安里,145,11.49%
彰化縣,彰化市,彰安里,148,12.45%
彰化縣,彰化市,光南里,79,9.44%
彰化縣,彰化市,介壽里,111,10.48%
彰化縣,彰化市,延平里,303,8.42%
彰化縣,彰化市,建寶里,77,7.52%
彰化縣,彰化市,福安里,60,12.25%
彰化縣,彰化市,大竹里,99,8.16%
彰化縣,彰化市,竹中里,69,10.85%
彰化縣,彰化市,安溪里,87,11.54%
彰化縣,彰化市,香山里,118,9.90%
彰化縣,彰化市,牛埔里,75,7.96%
彰化縣,彰化市,福山里,230,8.81%
彰化縣,彰化市,中庄里,104,10.32%
彰化縣,彰化市,三村里,52,15.63%
彰化縣,彰化市,國聖里,115,12.62%
彰化縣,彰化市,寶?里,35,9.09%
彰化縣,彰化市,茄苳里,23,8.26%
彰化縣,彰化市,茄南里,106,10.45%
彰化縣,彰化市,阿夷里,326,9.72%
彰化縣,彰化市,古夷里,90,9.92%
彰化縣,彰化市,復興里,149,8.57%
彰化縣,彰化市,和調里,126,11.74%
彰化縣,彰化市,石牌里,70,20.32%
彰化縣,彰化市,福田里,79,17.98%
彰化縣,彰化市,竹巷里,38,12.50%
彰化縣,彰化市,田中里,58,18.93%
彰化縣,彰化市,快官里,62,14.57%
彰化縣,彰化市,台鳳里,125,7.71%
彰化縣,彰化市,崙平里,343,13.97%
彰化縣,彰化市,向陽里,214,9.85%
彰化縣,鹿港鎮,大有里,92,17.00%
彰化縣,鹿港鎮,中興里,32,11.44%
彰化縣,鹿港鎮,洛津里,56,14.54%
彰化縣,鹿港鎮,順興里,47,13.09%
彰化縣,鹿港鎮,頂厝里,319,11.93%
彰化縣,鹿港鎮,東崎里,173,9.42%
彰化縣,鹿港鎮,埔崙里,226,11.99%
彰化縣,鹿港鎮,東石里,112,7.45%
彰化縣,鹿港鎮,郭厝里,30,13.58%
彰化縣,鹿港鎮,新宮里,42,12.00%
彰化縣,鹿港鎮,玉順里,38,8.47%
彰化縣,鹿港鎮,景福里,79,14.46%
彰化縣,鹿港鎮,泰興里,74,14.95%
彰化縣,鹿港鎮,長興里,22,19.59%
彰化縣,鹿港鎮,龍山里,55,18.93%
彰化縣,鹿港鎮,興化里,59,22.04%
彰化縣,鹿港鎮,菜園里,75,23.64%
彰化縣,鹿港鎮,街尾里,113,11.48%
彰化縣,鹿港鎮,頂番里,207,14.41%
彰化縣,鹿港鎮,頭崙里,113,14.66%
彰化縣,鹿港鎮,廖厝里,176,13.05%
彰化縣,鹿港鎮,溝墘里,194,14.01%
彰化縣,鹿港鎮,草中里,194,16.19%
彰化縣,鹿港鎮,頭南里,117,17.62%
彰化縣,鹿港鎮,山崙里,132,14.31%
彰化縣,鹿港鎮,海埔里,173,13.25%
彰化縣,鹿港鎮,詔安里,75,11.52%
彰化縣,鹿港鎮,洋厝里,106,14.10%
彰化縣,鹿港鎮,永安里,211,11.67%
彰化縣,和美鎮,竹營里,269,11.51%
彰化縣,和美鎮,和東里,192,10.56%
彰化縣,和美鎮,和南里,25,14.81%
彰化縣,和美鎮,和北里,61,8.13%
彰化縣,和美鎮,和西里,221,15.39%
彰化縣,和美鎮,四張里,104,10.23%
彰化縣,和美鎮,頭前里,77,12.13%
彰化縣,和美鎮,還社里,39,11.72%
彰化縣,和美鎮,面前里,95,13.63%
彰化縣,和美鎮,鎮平里,149,13.73%
彰化縣,和美鎮,大霞里,37,7.97%
彰化縣,和美鎮,源埤里,54,8.78%
彰化縣,和美鎮,南佃里,76,10.70%
彰化縣,和美鎮,雅溝里,67,15.04%
彰化縣,和美鎮,山犁里,218,11.37%
彰化縣,和美鎮,嘉犁里,74,11.76%
彰化縣,和美鎮,鐵山里,127,12.00%
彰化縣,和美鎮,詔安里,73,8.30%
彰化縣,和美鎮,柑井里,138,10.83%
彰化縣,和美鎮,竹園里,39,11.79%
彰化縣,和美鎮,新庄里,98,10.03%
彰化縣,和美鎮,犁盛里,135,14.50%
彰化縣,和美鎮,中寮里,51,13.16%
彰化縣,和美鎮,中圍里,118,11.68%
彰化縣,和美鎮,糖友里,128,7.23%
彰化縣,和美鎮,塗厝里,84,13.80%
彰化縣,和美鎮,地潭里,52,20.41%
彰化縣,和美鎮,湖內里,62,14.19%
彰化縣,和美鎮,嘉寶里,85,13.68%
彰化縣,和美鎮,月眉里,137,12.26%
彰化縣,和美鎮,好修里,77,13.46%
彰化縣,和美鎮,仁愛里,120,10.74%
彰化縣,線西鄉,線西村,121,17.31%
彰化縣,線西鄉,頂庄村,67,20.82%
彰化縣,線西鄉,寓埔村,115,13.44%
彰化縣,線西鄉,塭仔村,72,19.16%
彰化縣,線西鄉,溝內村,52,12.39%
彰化縣,線西鄉,下犁村,82,14.86%
彰化縣,線西鄉,頂犁村,100,12.97%
彰化縣,線西鄉,德興村,49,11.82%
彰化縣,伸港鄉,曾家村,76,15.26%
彰化縣,伸港鄉,蚵寮村,32,11.11%
彰化縣,伸港鄉,埤墘村,57,12.43%
彰化縣,伸港鄉,溪底村,70,12.66%
彰化縣,伸港鄉,泉州村,98,13.39%
彰化縣,伸港鄉,泉厝村,70,15.69%
彰化縣,伸港鄉,海尾村,83,14.29%
彰化縣,伸港鄉,全興村,100,17.00%
彰化縣,伸港鄉,定興村,109,12.22%
彰化縣,伸港鄉,新港村,216,11.17%
彰化縣,伸港鄉,什股村,98,16.08%
彰化縣,伸港鄉,大同村,108,14.34%
彰化縣,伸港鄉,七嘉村,100,10.16%
彰化縣,伸港鄉,汴頭村,85,12.43%
彰化縣,福興鄉,番社村,84,19.19%
彰化縣,福興鄉,社尾村,58,13.31%
彰化縣,福興鄉,大崙村,51,15.19%
彰化縣,福興鄉,外埔村,49,11.52%
彰化縣,福興鄉,外中村,53,12.45%
彰化縣,福興鄉,元中村,42,10.38%
彰化縣,福興鄉,三汴村,66,13.65%
彰化縣,福興鄉,萬豐村,33,10.33%
彰化縣,福興鄉,番婆村,90,12.08%
彰化縣,福興鄉,橋頭村,123,10.66%
彰化縣,福興鄉,秀厝村,90,11.66%
彰化縣,福興鄉,鎮平村,41,12.09%
彰化縣,福興鄉,三和村,33,10.98%
彰化縣,福興鄉,麥厝村,125,17.49%
彰化縣,福興鄉,廈粘村,60,10.91%
彰化縣,福興鄉,頂粘村,105,15.63%
彰化縣,福興鄉,福寶村,59,16.46%
彰化縣,福興鄉,二港村,57,15.02%
彰化縣,福興鄉,福興村,203,13.99%
彰化縣,福興鄉,福南村,102,11.93%
彰化縣,福興鄉,同安村,84,11.01%
彰化縣,福興鄉,西勢村,92,13.48%
彰化縣,秀水鄉,秀水村,104,17.40%
彰化縣,秀水鄉,安溪村,107,13.19%
彰化縣,秀水鄉,莊雅村,100,10.87%
彰化縣,秀水鄉,金興村,89,13.63%
彰化縣,秀水鄉,陝西村,37,7.85%
彰化縣,秀水鄉,安東村,120,8.61%
彰化縣,秀水鄉,鶴鳴村,170,15.11%
彰化縣,秀水鄉,馬興村,84,10.78%
彰化縣,秀水鄉,義興村,67,15.35%
彰化縣,秀水鄉,福安村,176,10.36%
彰化縣,秀水鄉,埔崙村,85,11.57%
彰化縣,秀水鄉,曾厝村,60,12.50%
彰化縣,秀水鄉,金陵村,104,16.49%
彰化縣,秀水鄉,下崙村,90,12.59%
彰化縣,花壇鄉,花壇村,177,13.58%
彰化縣,花壇鄉,金墩村,102,15.81%
彰化縣,花壇鄉,中庄村,95,11.98%
彰化縣,花壇鄉,劉厝村,42,11.83%
彰化縣,花壇鄉,崙雅村,69,14.61%
彰化縣,花壇鄉,南口村,73,12.14%
彰化縣,花壇鄉,中口村,34,14.97%
彰化縣,花壇鄉,北口村,74,11.51%
彰化縣,花壇鄉,長沙村,165,9.09%
彰化縣,花壇鄉,文德村,74,6.85%
彰化縣,花壇鄉,白沙村,159,8.40%
彰化縣,花壇鄉,岩竹村,77,18.48%
彰化縣,花壇鄉,橋頭村,91,8.07%
彰化縣,花壇鄉,灣雅村,42,13.45%
彰化縣,花壇鄉,灣東村,35,11.54%
彰化縣,花壇鄉,三春村,48,8.12%
彰化縣,花壇鄉,永春村,78,11.30%
彰化縣,花壇鄉,長春村,46,8.68%
彰化縣,芬園鄉,舊社村,61,11.60%
彰化縣,芬園鄉,大埔村,56,12.94%
彰化縣,芬園鄉,竹林村,45,7.94%
彰化縣,芬園鄉,社口村,104,10.33%
彰化縣,芬園鄉,茄荖村,99,11.68%
彰化縣,芬園鄉,嘉興村,65,11.63%
彰化縣,芬園鄉,芬園村,43,15.12%
彰化縣,芬園鄉,縣庄村,65,15.42%
彰化縣,芬園鄉,圳墘村,30,13.97%
彰化縣,芬園鄉,溪頭村,91,15.02%
彰化縣,芬園鄉,進芬村,40,12.45%
彰化縣,芬園鄉,同安村,39,13.51%
彰化縣,芬園鄉,中崙村,36,16.96%
彰化縣,芬園鄉,大竹村,30,12.93%
彰化縣,芬園鄉,楓坑村,17,11.63%
彰化縣,員林市,東和里,43,10.03%
彰化縣,員林市,民生里,162,11.62%
彰化縣,員林市,中正里,135,9.37%
彰化縣,員林市,仁美里,151,11.30%
彰化縣,員林市,新興里,49,14.78%
彰化縣,員林市,和平里,194,13.86%
彰化縣,員林市,光明里,46,12.20%
彰化縣,員林市,中山里,32,10.23%
彰化縣,員林市,黎明里,117,11.97%
彰化縣,員林市,惠來里,412,15.72%
彰化縣,員林市,三義里,169,14.59%
彰化縣,員林市,新生里,271,13.56%
彰化縣,員林市,南平里,309,14.74%
彰化縣,員林市,南興里,124,7.96%
彰化縣,員林市,源潭里,32,7.79%
彰化縣,員林市,大埔里,26,5.86%
彰化縣,員林市,三條里,128,13.58%
彰化縣,員林市,三和里,175,8.10%
彰化縣,員林市,三橋里,69,6.80%
彰化縣,員林市,中央里,52,8.96%
彰化縣,員林市,溝皂里,76,10.28%
彰化縣,員林市,大饒里,124,10.80%
彰化縣,員林市,大明里,54,8.76%
彰化縣,員林市,萬年里,111,9.30%
彰化縣,員林市,崙雅里,66,10.02%
彰化縣,員林市,振興里,88,10.17%
彰化縣,員林市,林厝里,68,8.90%
彰化縣,員林市,出水里,37,10.73%
彰化縣,員林市,湖水里,24,14.29%
彰化縣,員林市,大?里,7,4.17%
彰化縣,員林市,鎮興里,59,9.55%
彰化縣,員林市,浮圳里,43,7.49%
彰化縣,員林市,西東里,55,9.84%
彰化縣,員林市,南東里,50,10.23%
彰化縣,員林市,中東里,59,11.63%
彰化縣,員林市,東北里,55,9.91%
彰化縣,員林市,三愛里,100,8.80%
彰化縣,員林市,三信里,105,10.54%
彰化縣,員林市,三多里,122,11.95%
彰化縣,員林市,仁愛里,43,7.73%
彰化縣,員林市,忠孝里,124,12.58%
彰化縣,溪湖鎮,光平里,97,16.88%
彰化縣,溪湖鎮,平和里,49,14.68%
彰化縣,溪湖鎮,太平里,109,13.14%
彰化縣,溪湖鎮,光華里,43,18.24%
彰化縣,溪湖鎮,東寮里,174,13.48%
彰化縣,溪湖鎮,西寮里,76,11.25%
彰化縣,溪湖鎮,大突里,109,8.88%
彰化縣,溪湖鎮,北勢里,61,15.51%
彰化縣,溪湖鎮,汴頭里,152,13.69%
彰化縣,溪湖鎮,大竹里,168,14.90%
彰化縣,溪湖鎮,湖西里,128,12.15%
彰化縣,溪湖鎮,田中里,49,18.10%
彰化縣,溪湖鎮,河東里,113,18.54%
彰化縣,溪湖鎮,中山里,104,13.92%
彰化縣,溪湖鎮,中竹里,26,13.25%
彰化縣,溪湖鎮,東溪里,47,11.23%
彰化縣,溪湖鎮,西溪里,83,12.50%
彰化縣,溪湖鎮,湖東里,203,11.44%
彰化縣,溪湖鎮,頂庄里,28,18.39%
彰化縣,溪湖鎮,忠覺里,43,12.30%
彰化縣,溪湖鎮,湳底里,16,12.38%
彰化縣,溪湖鎮,大庭里,64,14.45%
彰化縣,溪湖鎮,媽厝里,32,16.36%
彰化縣,溪湖鎮,西勢里,118,16.67%
彰化縣,溪湖鎮,番婆里,62,12.77%
彰化縣,田中鎮,香山里,50,24.04%
彰化縣,田中鎮,碧峰里,43,12.63%
彰化縣,田中鎮,東源里,69,23.50%
彰化縣,田中鎮,復興里,66,11.11%
彰化縣,田中鎮,平和里,50,11.79%
彰化縣,田中鎮,頂潭里,62,16.19%
彰化縣,田中鎮,中潭里,87,13.33%
彰化縣,田中鎮,龍潭里,23,13.46%
彰化縣,田中鎮,北路里,156,10.64%
彰化縣,田中鎮,西路里,155,14.73%
彰化縣,田中鎮,東路里,99,18.71%
彰化縣,田中鎮,南路里,86,17.26%
彰化縣,田中鎮,中路里,157,15.53%
彰化縣,田中鎮,新庄里,95,10.16%
彰化縣,田中鎮,三安里,63,12.28%
彰化縣,田中鎮,大崙里,54,14.07%
彰化縣,田中鎮,沙崙里,76,13.95%
彰化縣,田中鎮,新民里,140,9.49%
彰化縣,田中鎮,梅州里,73,14.29%
彰化縣,田中鎮,三民里,51,10.19%
彰化縣,田中鎮,三光里,43,15.00%
彰化縣,田中鎮,大社里,30,13.04%
彰化縣,大村鄉,大村村,107,8.93%
彰化縣,大村鄉,茄苳村,30,8.48%
彰化縣,大村鄉,南勢村,33,9.68%
彰化縣,大村鄉,田洋村,23,9.05%
彰化縣,大村鄉,新興村,28,10.76%
彰化縣,大村鄉,過溝村,110,11.62%
彰化縣,大村鄉,美港村,79,8.34%
彰化縣,大村鄉,平和村,47,6.50%
彰化縣,大村鄉,貢旗村,34,11.25%
彰化縣,大村鄉,加錫村,37,8.93%
彰化縣,大村鄉,村上村,45,9.72%
彰化縣,大村鄉,大橋村,48,11.18%
彰化縣,大村鄉,大崙村,31,7.93%
彰化縣,大村鄉,擺塘村,47,8.19%
彰化縣,大村鄉,黃厝村,83,9.05%
彰化縣,大村鄉,福興村,62,6.70%
彰化縣,埔鹽鄉,埔鹽村,59,10.48%
彰化縣,埔鹽鄉,埔南村,61,11.14%
彰化縣,埔鹽鄉,?子村,39,9.49%
彰化縣,埔鹽鄉,出水村,19,8.24%
彰化縣,埔鹽鄉,南港村,58,12.15%
彰化縣,埔鹽鄉,打廉村,34,13.18%
彰化縣,埔鹽鄉,豐澤村,40,10.43%
彰化縣,埔鹽鄉,崑崙村,38,10.00%
彰化縣,埔鹽鄉,角樹村,29,12.84%
彰化縣,埔鹽鄉,瓦?村,22,5.88%
彰化縣,埔鹽鄉,好修村,85,13.90%
彰化縣,埔鹽鄉,西湖村,61,13.24%
彰化縣,埔鹽鄉,大有村,41,11.25%
彰化縣,埔鹽鄉,新興村,21,16.09%
彰化縣,埔鹽鄉,永平村,49,15.90%
彰化縣,埔鹽鄉,永樂村,33,12.90%
彰化縣,埔鹽鄉,石埤村,42,10.99%
彰化縣,埔鹽鄉,天盛村,54,19.19%
彰化縣,埔鹽鄉,太平村,44,10.97%
彰化縣,埔鹽鄉,新水村,54,11.55%
彰化縣,埔鹽鄉,三省村,62,15.70%
彰化縣,埔鹽鄉,南新村,33,8.61%
彰化縣,埔心鄉,東門村,151,11.64%
彰化縣,埔心鄉,埔心村,45,12.85%
彰化縣,埔心鄉,義民村,82,13.20%
彰化縣,埔心鄉,油車村,32,7.80%
彰化縣,埔心鄉,瓦北村,57,10.71%
彰化縣,埔心鄉,瓦中村,85,12.71%
彰化縣,埔心鄉,瓦南村,37,9.34%
彰化縣,埔心鄉,太平村,75,12.26%
彰化縣,埔心鄉,經口村,104,11.70%
彰化縣,埔心鄉,大華村,26,18.75%
彰化縣,埔心鄉,仁里村,45,12.94%
彰化縣,埔心鄉,舊?村,54,9.61%
彰化縣,埔心鄉,南?村,39,10.74%
彰化縣,埔心鄉,新?村,24,9.68%
彰化縣,埔心鄉,羅厝村,70,16.60%
彰化縣,埔心鄉,芎蕉村,88,15.37%
彰化縣,埔心鄉,二重村,44,11.49%
彰化縣,埔心鄉,梧鳳村,50,17.65%
彰化縣,埔心鄉,埤霞村,33,15.17%
彰化縣,埔心鄉,埤?村,38,12.79%
彰化縣,永靖鄉,永東村,48,14.03%
彰化縣,永靖鄉,永西村,100,14.17%
彰化縣,永靖鄉,永南村,58,9.67%
彰化縣,永靖鄉,永北村,79,10.60%
彰化縣,永靖鄉,港西村,81,14.09%
彰化縣,永靖鄉,五福村,48,10.91%
彰化縣,永靖鄉,湳港村,18,6.47%
彰化縣,永靖鄉,新莊村,25,8.79%
彰化縣,永靖鄉,瑚璉村,119,11.97%
彰化縣,永靖鄉,五汴村,77,14.71%
彰化縣,永靖鄉,浮圳村,40,12.76%
彰化縣,永靖鄉,光雲村,39,9.29%
彰化縣,永靖鄉,東寧村,59,9.42%
彰化縣,永靖鄉,永興村,34,9.88%
彰化縣,永靖鄉,崙子村,40,9.00%
彰化縣,永靖鄉,獨鰲村,40,17.61%
彰化縣,永靖鄉,敦厚村,19,10.38%
彰化縣,永靖鄉,崙美村,31,14.05%
彰化縣,永靖鄉,同安村,35,15.95%
彰化縣,永靖鄉,同仁村,42,18.72%
彰化縣,永靖鄉,湳墘村,29,14.69%
彰化縣,永靖鄉,四芳村,18,13.08%
彰化縣,永靖鄉,福興村,39,12.08%
彰化縣,永靖鄉,竹子村,24,10.67%
彰化縣,社頭鄉,社頭村,152,13.02%
彰化縣,社頭鄉,東興村,32,8.10%
彰化縣,社頭鄉,山湖村,50,15.98%
